Gene	Entries
SRCRB4D	set(['CDKN2A(D)', 'EGFR(A)'])
ATP13A2	set(['CDKN2A(D)'])
RB1	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)', 'CDK4(A)', 'EGFR(A)'])
CDKN2A(D)	set(['MYOM3', 'MDN1', 'ATP13A2', 'MSL3', 'GABRG2', 'DOCK1', 'MYCNOS,MYCN(A)', 'MSH6', 'SPTA1', 'KIAA0649', 'ST14', 'EP400', 'RB1', 'C12orf35', 'SPTBN4', 'SMARCA4', 'LTBP2', 'RERE', 'MYH3', 'ASTL', 'TP53', 'ITIH5', 'SRCRB4D', 'TBC1D2', 'PKD1L2', 'CACNA1F', 'LRRK2', 'ESPL1', 'SUSD3', 'ARHGEF19', 'PRPF6', 'RB1(D)', 'MET,CAPZA2,ST7-AS1,ST7,ST7-OT4(A)', 'NELL2(A)', 'C7', 'ANGPT4', 'C2orf55', 'SLITRK6', 'ARID2(D)', 'CASZ1', 'DGKD', 'SP1', 'IDH1', 'CELSR2', 'C15orf2', 'FHOD3', 'BCOR', 'EVPL', 'ATP2B3', 'SIPA1L3', 'LRBA', 'ZAN', 'ABCA13', 'SUPT6H', 'ADCY1', 'KIAA1210', 'PCDHA8', 'MDM2(A)', 'C8B', 'NOTCH2', 'NOTCH3', 'PDE6B', 'SPEN', 'ABCA4', 'AGAP3', 'MAP3K15', 'ASPM', 'MYO15A', 'SCN5A', 'ITGAD', 'COL12A1', 'CDK4(A)'])
PIK3R1	set(['PTEN(D)'])
SP1	set(['CDKN2A(D)', 'EGFR(A)'])
PPP1R9A	set(['EGFR(A)'])
RPGRIP1L	set(['EGFR(A)'])
TP53(D)	set(['EGFR(A)'])
ANGPT4	set(['CDKN2A(D)'])
MAP3K15	set(['CDKN2A(D)'])
MYCNOS,MYCN(A)	set(['CDKN2A(D)'])
ARID2(D)	set(['CDKN2A(D)'])
KLHL34	set(['EGFR(A)'])
LTBP2	set(['CDKN2A(D)'])
FHOD3	set(['CDKN2A(D)', 'EGFR(A)'])
C15orf2	set(['CDKN2A(D)'])
FAF1(D)	set(['EGFR(A)'])
AKAP6,NPAS3(D),NPAS3(D)	set(['EGFR(A)'])
PCNT	set(['EGFR(A)'])
EVPL	set(['CDKN2A(D)'])
HMCN1	set(['PTEN'])
PCDHA13	set(['EGFR(A)'])
DNAH2	set(['CDK4(A)'])
ABCA13	set(['CDKN2A(D)'])
SUPT6H	set(['CDKN2A(D)'])
LRBA	set(['CDKN2A(D)'])
PDGFRA(A)	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR', 'EGFR(A)'])
PCDHA8	set(['CDKN2A(D)'])
NOTCH2	set(['CDKN2A(D)'])
NOTCH3	set(['CDKN2A(D)', 'EGFR(A)'])
PDE6B	set(['CDKN2A(D)'])
PCDH17	set(['EGFR(A)'])
ASPM	set(['CDKN2A(D)'])
SCN5A	set(['CDKN2A(D)'])
ITGAD	set(['CDKN2A(D)', 'EGFR(A)'])
TBC1D2	set(['CDKN2A(D)'])
COL12A1	set(['CDKN2A(D)'])
