Gene	Entries
MDN1	set(['CDKN2A(D)'])
MYOM3	set(['CDKN2A(D)'])
PDGFRA	set(['EGFR(A)'])
PTEN(D)	set(['PTEN', 'TP53', 'PIK3R1'])
SPTA1	set(['CDKN2A(D)'])
MYH4	set(['EGFR(A)'])
AKAP13	set(['EGFR(A)'])
COL24A1	set(['EGFR(A)'])
SYNE2	set(['PTEN'])
ITIH5	set(['CDKN2A(D)'])
EGFR(A)	set(['ANKRD52', 'PDGFRA', 'AKAP13', 'CELSR3', 'C8B', 'RB1', 'C12orf35', 'SMARCA4', 'PRPF6', 'RERE', 'NLRP7', 'MYH4', 'DDX11', 'SRCRB4D', 'MYH8', 'WHSC1L1', 'HFM1', 'BSN', 'NF1', 'WNK3', 'PPP1R9A', 'RPGRIP1L', 'TP53(D)', 'KDM2B', 'C7', 'C2orf55', 'KLHL34', 'CASZ1', 'RIMBP2', 'SP1', 'IDH1', 'PPEF2', 'FAF1(D)', 'AKAP6,NPAS3(D),NPAS3(D)', 'NF1,RAB11FIP4(D)', 'PCNT', 'COL24A1', 'ATP2B3', 'PCDHA13', 'SAMD9L', 'FHOD3', 'TP53', 'ADCY1', 'PDGFRA(A)', 'TPTE2', 'NOTCH3', 'PTEN', 'PCDH17', 'CAND1', 'MYO15A', 'ITGAD', 'ZNF407(D)'])
PRPF6	set(['CDKN2A(D)', 'EGFR(A)'])
MYH3	set(['CDKN2A(D)'])
NLRP7	set(['EGFR(A)'])
ASTL	set(['CDKN2A(D)'])
PKD1L1	set(['PTEN'])
PKD1L2	set(['CDKN2A(D)'])
PIK3CA	set(['PTEN'])
MYH8	set(['EGFR(A)'])
RPL5,FAM69A,SNORA66(D)	set(['TP53', 'CDK4(A)'])
CACNA1F	set(['CDKN2A(D)'])
HFM1	set(['EGFR(A)'])
BSN	set(['EGFR(A)'])
ESPL1	set(['CDKN2A(D)'])
SUSD3	set(['CDKN2A(D)'])
WNK3	set(['EGFR(A)'])
RB1(D)	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)'])
MET,CAPZA2,ST7-AS1,ST7,ST7-OT4(A)	set(['CDKN2A(D)'])
NELL2(A)	set(['CDKN2A(D)'])
C7	set(['CDKN2A(D)', 'EGFR(A)'])
C2orf55	set(['CDKN2A(D)', 'EGFR(A)'])
SLITRK6	set(['CDKN2A(D)'])
NF1	set(['EGFR(A)'])
RIMBP2	set(['EGFR(A)'])
ARHGEF19	set(['CDKN2A(D)'])
IDH1	set(['CDKN2A(D)', 'EGFR(A)'])
WHSC1L1	set(['EGFR(A)'])
CELSR3	set(['EGFR(A)'])
CELSR2	set(['CDKN2A(D)'])
AGAP3	set(['CDKN2A(D)'])
NF1,RAB11FIP4(D)	set(['CDK4(A)', 'EGFR(A)'])
BCOR	set(['CDKN2A(D)'])
TP53	set(['RPL5,FAM69A,SNORA66(D)', 'MDM2(A)', 'PTEN(D)', 'MDM4(A)', 'CDKN2A(D)', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)'])
ATP2B3	set(['CDKN2A(D)', 'EGFR(A)'])
ADAM29	set(['PTEN'])
SIPA1L3	set(['CDKN2A(D)'])
ZAN	set(['CDKN2A(D)'])
SAMD9L	set(['EGFR(A)'])
KDM2B	set(['EGFR(A)'])
ADCY1	set(['CDKN2A(D)', 'EGFR(A)'])
TPTE2	set(['EGFR(A)'])
MDM2(A)	set(['CDKN2A(D)', 'TP53'])
C8B	set(['CDKN2A(D)', 'EGFR(A)'])
SPEN	set(['CDKN2A(D)'])
PTEN	set(['DCHS1', 'PKD1L1', 'PIK3CA', 'PTEN(D)', 'HMCN1', 'SYNE2', 'ADAM29', 'EGFR(A)', 'KIF21B'])
ABCA4	set(['CDKN2A(D)'])
DGKD	set(['CDKN2A(D)'])
CAND1	set(['EGFR(A)'])
PPEF2	set(['EGFR(A)'])
QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	set(['TP53', 'RB1(D)', 'RB1', 'PDGFRA(A)'])
MYO15A	set(['CDKN2A(D)', 'EGFR(A)'])
KIF21B	set(['PTEN'])
KIAA1210	set(['CDKN2A(D)'])
ZNF407(D)	set(['EGFR(A)'])
ANKRD52	set(['EGFR(A)'])
DCHS1	set(['PTEN'])
MSL3	set(['CDKN2A(D)'])
GABRG2	set(['CDKN2A(D)'])
DOCK1	set(['CDKN2A(D)'])
EGFR	set(['PDGFRA(A)'])
MDM4(A)	set(['TP53'])
MSH6	set(['CDKN2A(D)'])
KIAA0649	set(['CDKN2A(D)'])
ST14	set(['CDKN2A(D)'])
EP400	set(['CDKN2A(D)'])
CDK4(A)	set(['DNAH2', 'CDKN2A(D)', 'NF1,RAB11FIP4(D)', 'RB1', 'RPL5,FAM69A,SNORA66(D)'])
C12orf35	set(['CDKN2A(D)', 'EGFR(A)'])
SPTBN4	set(['CDKN2A(D)'])
SMARCA4	set(['CDKN2A(D)', 'EGFR(A)'])
CASZ1	set(['CDKN2A(D)', 'EGFR(A)'])
RERE	set(['CDKN2A(D)', 'EGFR(A)'])
LRRK2	set(['CDKN2A(D)'])
DDX11	set(['EGFR(A)'])
