Gene0	Gene1	cometProbability
BCRloss	CYTSBloss	0.0271110340428
MYST4loss	TCL1Aloss	0.0201542652094
ABI1loss	CYTSBloss	0.0115992897307
CEP110loss	HIST1H3Bloss	0.0394537739224
CDKN2Closs	MYST4loss	0.0163901573226
MYST4loss	SMARCD1loss	0.0349977435969
LASP1loss	CYTSBloss	0.011171309522
BCL10loss	CYTSBloss	0.0119765809101
SRSF2loss	MYST4loss	0.00613654767231
CLTCL1loss	FAM22Aloss	0.0414738188271
ELF4loss	CYTSBloss	0.0488123654146
MYST4loss	NRASloss	0.0495048601944
CEP110loss	PIM1loss	0.00829190897381
NUTM2Bloss	MYST4loss	0.0023919926717
FOXO3loss	FAM123Bloss	0.0166187509386
CEP110loss	FANCEloss	0.00684610057336
CEP110loss	CREB3L1loss	0.0110453519351
EWSR1loss	CYTSBloss	0.0209038292989
MYST4loss	PICALMloss	0.0448880916465
HOXC11loss	CYTSBloss	0.0339406601278
NACAloss	CYTSBloss	0.027119324008
CYTSBloss	KMT2Aloss	0.0429493766248
FAM22Bloss	TET1loss	0.0482942491235
FOXA1loss	MYST4loss	0.0428355906478
CEP110loss	DDX6loss	0.00232192529774
CYTSBloss	SSX4loss	0.0367147763585
KMT2Dloss	MLLloss	0.00231268016461
HMGA2loss	CYTSBloss	0.0472254312801
MYST4loss	CCND2loss	0.0383414690191
KMT2Dloss	MYST4loss	0.00715631295776
HOXC13loss	CYTSBloss	0.0350599392385
MTCP1loss	CYTSBloss	0.00982476391862
CEP110loss	TNFAIP3loss	0.0234768136532
FANCGloss	MYST4loss	0.0109544753253
CEP110loss	LASP1loss	0.0248801285603
TAF15loss	CYTSBloss	0.00650877936889
SSX1loss	MYST4loss	0.0388431390027
CEP110loss	CLP1loss	0.0235034172409
MYST4loss	CBLloss	0.0341711605819
CEP110loss	MLLT3loss	0.0179696596882
JUNloss	P2RY8loss	0.04644671371
CCDC6loss	MYST4loss	0.0317251719578
KAT6Bloss	CYTSBloss	0.0221609614011
NONOloss	CYTSBloss	0.00697995110534
RAD51Bloss	MYST4loss	0.012435792847
MYST4loss	TAL1loss	0.0055243120833
H3F3Bloss	MYST4loss	0.00788871976706
EP300loss	CYTSBloss	0.0357104868505
MALAT1loss	MYST4loss	0.0454022361505
CEP110loss	ECT2Lloss	0.0208081597555
AMER1loss	CYTSBloss	0.00710273391543
TFE3loss	CYTSBloss	0.00447314663592
BCL2loss	CYTSBloss	0.0300606778488
SSX2loss	MLLloss	0.0149700600996
CEP110loss	TRIM27loss	0.0436189543297
CEP110loss	FLI1loss	0.00229737831639
PDCD1LG2loss	MYST4loss	0.0116214804952
MYST4loss	PDGFBloss	0.00675840890469
AKT1loss	MYST4loss	0.00583181633169
