MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
0.6445497630331753	True	0.013494063608792697	HOXD11loss	HLA-Aloss	0.011848341232227487	155	699	[699, 155]	0	10	844	4.8	544	MutuallyExclusive	frozenset(['HOXD11loss', 'HLA-Aloss'])
0.8061433447098976	True	0.036756189285747844	CDKN2Closs	HLA-Aloss	0.017747440273037544	155	1336	[1336, 155]	0	26	1465	4.6	1181	MutuallyExclusive	frozenset(['CDKN2Closs', 'HLA-Aloss'])
0.5461454940282302	True	0.011122161222345486	CNBPloss	MLL2loss	0.01737242128121607	217	720	[720, 217]	0	16	921	4.9	503	MutuallyExclusive	frozenset(['CNBPloss', 'MLL2loss'])
0.45811051693404636	True	0.047787069571503069	CDK6loss	HLA-Aloss	0.0106951871657754	155	412	[412, 155]	0	6	561	4.1	257	MutuallyExclusive	frozenset(['CDK6loss', 'HLA-Aloss'])
0.5477223427331888	True	0.018617536500431138	MLL2loss	TFRCloss	0.01843817787418655	722	217	[217, 722]	0	17	922	4.7	505	MutuallyExclusive	frozenset(['MLL2loss', 'TFRCloss'])
0.6554949337490257	True	0.012509910316018303	AMER1loss	MLL3loss	0.02338269680436477	236	1077	[1077, 236]	0	30	1283	5.0	841	MutuallyExclusive	frozenset(['AMER1loss', 'MLL3loss'])
0.5110336817653891	True	0.0052856722460186707	MLL2loss	WIF1loss	0.015098722415795587	657	217	[217, 657]	0	13	861	5.2	440	MutuallyExclusive	frozenset(['MLL2loss', 'WIF1loss'])
0.2086242299794661	True	0.034802513602847931	BRAFloss	SDHBloss	0.10965092402464066	1605	1097	[1097, 1605]	0	267	2435	4.8	508	MutuallyExclusive	frozenset(['BRAFloss', 'SDHBloss'])
0.6359143327841845	True	0.032958283213474937	MLL3loss	RPL10loss	0.02471169686985173	1008	236	[236, 1008]	0	30	1214	4.6	772	MutuallyExclusive	frozenset(['MLL3loss', 'RPL10loss'])
0.5891544117647058	True	0.027622382873387558	MLL3loss	CCNE1loss	0.02297794117647059	877	236	[236, 877]	0	25	1088	4.6	641	MutuallyExclusive	frozenset(['MLL3loss', 'CCNE1loss'])
0.6184773310521814	True	0.012567022910344141	MLL3loss	CEP89loss	0.022241231822070145	959	236	[236, 959]	0	26	1169	5.0	723	MutuallyExclusive	frozenset(['MLL3loss', 'CEP89loss'])
0.19383259911894274	True	0.034109852026313711	KRASloss	IDH1loss	0.08663729809104258	1308	912	[912, 1308]	0	177	2043	4.8	396	MutuallyExclusive	frozenset(['KRASloss', 'IDH1loss'])
0.30227272727272725	True	0.030856471204701873	SDC4loss	HLA-Aloss	0.006818181818181818	155	288	[288, 155]	0	3	440	4.2	133	MutuallyExclusive	frozenset(['SDC4loss', 'HLA-Aloss'])
0.5988538681948424	True	0.00021113616921384352	MLL2loss	CDKN1Bloss	0.013371537726838587	844	217	[217, 844]	0	14	1047	6.7	627	MutuallyExclusive	frozenset(['MLL2loss', 'CDKN1Bloss'])
0.5257623554153522	True	0.039098594980366726	MSI2loss	MLL3loss	0.022082018927444796	236	736	[736, 236]	0	21	951	4.4	500	MutuallyExclusive	frozenset(['MSI2loss', 'MLL3loss'])
0.4865771812080537	True	0.001220641346521814	MLL3loss	ETV5loss	0.0145413870246085	671	236	[236, 671]	0	13	894	5.9	435	MutuallyExclusive	frozenset(['MLL3loss', 'ETV5loss'])
0.3124533929903057	True	9.7431402521425919e-07	MAFloss	NOTCH2loss	0.0976882923191648	1053	1891	[1891, 1053]	0	262	2682	9.4	838	MutuallyExclusive	frozenset(['MAFloss', 'NOTCH2loss'])
0.4948	True	0.010536163261230439	FANCAloss	BCL9loss	0.0852	738	1975	[1975, 738]	0	213	2500	5.4	1237	MutuallyExclusive	frozenset(['FANCAloss', 'BCL9loss'])
0.8871728871728872	True	0.035078906968262644	FOXO1loss	HLA-Aloss	0.020163020163020164	155	2223	[2223, 155]	0	47	2331	4.8	2068	MutuallyExclusive	frozenset(['HLA-Aloss', 'FOXO1loss'])
