Gene	Entries
ENPEP	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'PTEN(D)', 'FAF1(D)'])
ZNF536	set(['PTEN'])
JHDM1D	set(['PDGFRA(A)'])
CIITA	set(['PTEN', 'CDK4(A)'])
PKD1L2	set(['PTEN', 'CDKN2A(D)', 'EGFR(A)', 'MDM4(A)'])
HFM1	set(['EGFR(A)'])
BSN	set(['CDKN2A(D)', 'EGFR(A)'])
MIR3201(D),FAM19A5(D),LOC339685(D)	set(['LRP2', 'FLG2', 'ZMYM3', 'PDGFRA(A)', 'LRP1B(D)', 'HUWE1', 'PTEN', 'PCLO', 'FLG', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'RB1(D)', 'SYNE2', 'TP53(D)', 'RIMS2'])
OBSL1	set(['CDKN2A(D)', 'PDGFRA(A)'])
BIRC6	set(['CDK4(A)'])
C3	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
DSG3	set(['RB1(D)', 'PTEN(D)'])
C7	set(['MDM4(A)', 'CDKN2A(D)', 'CDK4(A)', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)'])
PRX	set(['EGFR(A)'])
RIMS2	set(['TP53(D)', 'MIR3201(D),FAM19A5(D),LOC339685(D)', 'RB1(D)', 'MDM4(A)'])
KIF21B	set(['PTEN', 'PDGFRA(A)'])
LAMA1	set(['PTEN', 'RB1(D)', 'FAF1(D)', 'PDGFRA(A)'])
LAMA2	set(['PTEN', 'EGFR(A)'])
ACACA	set(['PDGFRA(A)'])
SAMSN1,LOC388813,NRIP1,USP25,LINC00478,MIR99A,MIRLET7C,MIR125B2,C21orf37,CXADR,BTG3,C21orf91-OT1,C21orf91,CHODL-AS1,CHODL,TMPRSS15(A)	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)'])
WBSCR17	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)', 'FAF1(D)'])
ACACB	set(['PTEN'])
INPP5A,NKX6-2,TTC40,LOC399829,GPR123,KNDC1,UTF1,VENTX,MIR202,ADAM8,TUBGCP2,ZNF511,CALY,PRAP1,C10orf125,ECHS1,MIR3944,PAOX,MTG1(D),PAOX(D)	set(['KRTAP5-5', 'DNAH11', 'PIK3CA', 'EGFR', 'SPTA1', 'MXRA5', 'SYNE1'])
PPEF2	set(['MDM4(A)', 'EGFR(A)', 'PDGFRA(A)'])
KIDINS220	set(['PTEN'])
MAST2	set(['CDK4(A)'])
NF1,RAB11FIP4(D)	set(['SOX2-OT(A),PIK3CA(A)', 'EGFR(A)', 'MDM4(A)', 'USH2A', 'CDK4(A)'])
SCAF1	set(['RB1(D)', 'EGFR(A)', 'MDM4(A)'])
ABCG4	set(['PTEN'])
SLC27A2	set(['RB1(D)', 'CDK4(A)'])
LRP2	set(['ARID2(D)', 'LINC00290(D)', 'MDM2(A)', 'MIR3201(D),FAM19A5(D),LOC339685(D)', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'TP53(D)'])
CYP4F22	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDK4(A)'])
KDM2B	set(['PTEN', 'EGFR(A)', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
PLCG2	set(['CDK4(A)', 'EGFR(A)'])
F8	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'MDM4(A)'])
PLXNA2	set(['PTEN(D)', 'EGFR(A)'])
EVPL	set(['CDKN2A(D)', 'EGFR(A)'])
PDGFRA(A)	set(['ZBTB20(D),LSAMP(D)', 'MYH14', 'COL11A1', 'JHDM1D', 'SCN11A', 'CCDC45', 'DUOX2', 'EGFR', 'HOOK1', 'MST1', 'CNTNAP2', 'UPF1', 'SACS', 'SMARCA1', 'CHL1', 'CRYBA2', 'ADAMTS16', 'FRRS1', 'GABRA1', 'EGFR(A)', 'TRH(D)', 'MYH2', 'SIM1', 'DLG5', 'KCNC2', 'CABIN1', 'MGAM', 'AMPD1', 'DCC', 'VAV2(D)', 'LRP1B(D)', 'MIR3201(D),FAM19A5(D),LOC339685(D)', 'PIK3R1', 'SP1', 'DISP1', 'KIF2B', 'SAMD9', 'TRPM2', 'KIF21B', 'LAMA1', 'EPHB1', 'ACACA', 'OBSL1', 'TRHDE', 'WNK2', 'PPEF2', 'AFF2', 'NLGN4X', 'ENPP2', 'CROCC', 'DSP', 'HERC1', 'COL5A3', 'PIK3C2G', 'KCNN2', 'KPRP', 'CEP250', 'SPAM1', 'DNAH2', 'SEMA3C', 'LRRK2', 'SH3TC1', 'PDE6B', 'SPHKAP', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'MYO15A', 'SCN5A'])
TAF1L	set(['TP53(D)', 'EGFR(A)'])
ABCA4	set(['MDM4(A)', 'PTEN', 'CDKN2A(D)', 'CDK4(A)', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
CNTNAP2	set(['MDM2(A)', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)', 'FAF1(D)', 'PDGFRA(A)'])
ZBTB20(D),LSAMP(D)	set(['TP53(D)', 'PDGFRA(A)'])
TMTC1	set(['PTEN'])
HTR3A	set(['CDK4(A)'])
PDPN,PRDM2(A)	set(['FAF1(D)', 'PTEN', 'PCLO', 'PTEN(D)', 'RB1'])
C2orf55	set(['CDKN2A(D)', 'EGFR(A)'])
KIAA1210	set(['CDKN2A(D)'])
DNAH8	set(['PTEN', 'PTEN(D)'])
ECEL1	set(['CDK4(A)'])
PRKD3	set(['PTEN(D)'])
TRH(D)	set(['RB1(D)', 'PTEN(D)', 'PDGFRA(A)'])
KCNC2	set(['PTEN', 'PDGFRA(A)'])
CDH18	set(['CDKN2A(D)', 'MDM4(A)'])
NLRP12	set(['PTEN(D)', 'CDK4(A)', 'FAF1(D)', 'MDM4(A)'])
EGFR	set(['THSD7B', 'ARID2(D)', 'CDK4(A)', 'PDGFRA(A)', 'MDM2(A)', 'INPP5A,NKX6-2,TTC40,LOC399829,GPR123,KNDC1,UTF1,VENTX,MIR202,ADAM8,TUBGCP2,ZNF511,CALY,PRAP1,C10orf125,ECHS1,MIR3944,PAOX,MTG1(D),PAOX(D)', 'SLIT3', 'ARHGAP9', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)', 'TP53(D)', 'DUSP27'])
MDM4(A)	set(['ANKRD52', 'MYOM3', 'PDGFRA', 'TGM3', 'PLEKHG4B', 'COL11A1', 'SCAF1', 'CC2D1A', 'GABRG2', 'NLRP12', 'ABP1', 'MST1', 'MLL3', 'RIMS2', 'ODZ3', 'MLL4', 'CDH18', 'FBLN2', 'UBASH3A', 'FLG2', 'BRPF3', 'DLG5', 'PKD1L2', 'EML2', 'PALM2-AKAP2', 'MYH8', 'ATP13A2', 'AFF2', 'WHSC1L1', 'EPPK1', 'LRP1B', 'KCNU1', 'SLIT3', 'NF1', 'TRIML1', 'TMEM132D', 'SIPA1L3', 'C7', 'DSG4', 'ITGAM', 'ZMYM3', 'IDH1', 'ABCB4', 'PPEF2', 'TRRAP', 'COL5A3', 'NF1,RAB11FIP4(D)', 'ZNF208', 'FLNA', 'PTPN3', 'MYH7B', 'SETD2', 'TCHH', 'ZAN', 'LRP1', 'TP53', 'HRNR', 'F8', 'PKD1', 'FRMPD4(D)', 'ACSM4', 'SPAG17', 'CDH9', 'ANK1', 'ABCA4', 'KDR', 'PCDH17', 'SLC22A2', 'GPR98', 'PKHD1', 'COL6A3', 'SCN5A', 'PTPN11', 'ZNF407(D)'])
KIAA0649	set(['PTEN', 'CDKN2A(D)'])
C8B	set(['CDKN2A(D)', 'EGFR(A)'])
DSCAM	set(['CDK4(A)', 'EGFR(A)', 'PTEN(D)'])
RB1CC1	set(['PTEN'])
FRRS1	set(['CDK4(A)', 'PTEN(D)', 'PDGFRA(A)'])
PAN3	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
SIM2	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
SIM1	set(['PDGFRA(A)'])
SPTBN4	set(['PTEN', 'CDKN2A(D)', 'EGFR(A)'])
DDX11	set(['EGFR(A)'])
MXRA5	set(['INPP5A,NKX6-2,TTC40,LOC399829,GPR123,KNDC1,UTF1,VENTX,MIR202,ADAM8,TUBGCP2,ZNF511,CALY,PRAP1,C10orf125,ECHS1,MIR3944,PAOX,MTG1(D),PAOX(D)', 'TP53(D)', 'RB1(D)', 'FAF1(D)'])
PLEKHG4B	set(['RB1(D)', 'CDK4(A)', 'MDM4(A)'])
ATP13A2	set(['CDKN2A(D)', 'MDM4(A)'])
KIF4B	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDK4(A)'])
KIF4A	set(['PTEN'])
WNK2	set(['PDGFRA(A)'])
