Gene	Entries
SSPO	set(['DSG3', 'CNTNAP2', 'GABRA1', 'NOTCH2', 'SPHKAP'])
HSPA6	set(['HEATR5A', 'MICALCL', 'MUC5B'])
ZCCHC14	set(['SLC6A3', 'ZMYM3', 'MYH3', 'BBS1', 'ASPM', 'PCDH17'])
ABP1	set(['DYSF', 'FBN2', 'ZNF831', 'MLL2', 'MAST2', 'COL1A2', 'COL4A2', 'ODZ1', 'PLXND1'])
FTMT	set(['FHDC1', 'DLG5', 'PCDHGA11', 'DLGAP2', 'ABCC8', 'TMEM132D'])
PCSK4	set(['KIF4B'])
SBF1	set(['ADCY1', 'CALN1', 'EPHB1', 'CHD5', 'KCNC2', 'WBSCR17', 'PCDHB3', 'CIITA', 'COL11A2', 'DOCK1', 'PKD1L1', 'CFTR', 'MLL2', 'MEGF8', 'FHOD3', 'PIK3CA', 'SPEG', 'ATP2B3', 'RB1CC1', 'UBR4'])
L1CAM	set(['LRP2', 'OBSCN', 'SAMD9L', 'ZNF335', 'PLXNA2', 'C7orf52', 'EPHB2', 'ANK2', 'RHBDF2', 'NF1', 'ARHGEF19', 'ZNF292'])
DUSP27	set(['SVIL'])
DLG5	set(['LGSN', 'PLXNA2', 'FTMT', 'TMPRSS6', 'CCDC108', 'ATP8B4', 'COL12A1'])
PIK3CA	set(['ULK2', 'SLC9A4', 'MICALCL', 'PKD1L2', 'SLCO6A1', 'BZRAP1', 'CELSR1', 'SBF1', 'ANK1', 'LGSN', 'ATP2B3', 'KIAA1210', 'C2orf55'])
PIK3CG	set(['MDN1', 'NLRP7', 'PTCH1', 'PTPRS', 'SLC22A2', 'ADAMTS3', 'PCNT', 'CELSR2', 'RB1', 'USP43', 'CALN1', 'ABCB5', 'TRIML1', 'NCAN', 'MYT1', 'TERT', 'KIAA1211', 'HECW1'])
SEMG1	set(['CYP4F22'])
ESPL1	set(['DOCK8', 'ANO5', 'C12orf35', 'MUC5B', 'DGKZ', 'LRRK2', 'AHNAK', 'SLCO5A1', 'SLIT3', 'N4BP3', 'CASZ1', 'ATP10B', 'TRRAP', 'PTCHD2', 'EVPL', 'PCDHA2', 'ADCY1', 'KIF1B', 'PCDHA8', 'COL22A1', 'SPAG17', 'PRKD3'])
NELL2(A)	set(['ANO6(A)', 'CDK4(A)'])
PCDH11X	set(['KLHL34'])
ZMYM3	set(['MYOM3', 'NPR1', 'SLITRK2', 'LRP4', 'DDX11', 'BBS1', 'ASPM', 'SH3TC1', 'ZCCHC14', 'DEAF1', 'SCN9A', 'KIAA0649', 'ABCA4', 'TCHH', 'ATR', 'AKAP13', 'PTPN3', 'DSCAM', 'PTPN11', 'MYH3'])
SLITRK2	set(['NRK', 'ZMYM3', 'TGM2', 'MYH9', 'ASTL', 'SUPT6H', 'OTOA', 'UMOD', 'ECT2L', 'HERC1', 'NIPBL', 'PTPRD', 'BPTF', 'PTCHD2', 'SYNE1', 'SIPA1L2', 'FLG', 'SCAF1'])
DYSF	set(['NEB', 'DNAH5', 'CELSR3', 'CCDC45', 'DOCK1', 'ABP1', 'ZNF831', 'SHROOM2', 'KIAA1244', 'NFKBIL2', 'ITPR3'])
LRP1B(D)	set(['TCHH'])
ARHGEF19	set(['EPHA7', 'MSH6', 'PRKDC', 'COL24A1', 'AKAP13', 'L1CAM', 'C12orf35', 'INPP5D', 'ZNF536', 'HOMER1', 'TNS1', 'MAP3K15', 'CASZ1', 'DOCK4', 'EVPL', 'LRP2', 'SUPT6H', 'ADCY1', 'SPEN', 'ACRC', 'BCL9', 'PDZD2'])
CRTAC1	set(['IQSEC3', 'UBR4'])
PAPPA	set(['PLXNB3', 'TJAP1', 'DDX11', 'ACACB', 'SRGAP1', 'MYO1B', 'SMARCA1', 'COL6A3', 'UBR4', 'SMARCA4', 'UGGT1'])
TRPV6	set(['PKHD1', 'NOS3'])
PIK3C2G	set(['PAN3', 'LAMA2', 'KEL', 'LRFN5', 'MYO18B', 'ODZ1', 'ZNF292'])
GMIP	set(['ERBB2', 'ENPEP', 'LRRK2', 'EPHA8', 'PCDHB3', 'PPEF2', 'ATP10B', 'C7orf52', 'CELSR3', 'TRRAP', 'FAT2', 'PCDH17', 'TLR6', 'NOTCH2', 'CIITA', 'SMARCA1', 'AFM', 'BRAF', 'C7', 'RELN'])
COL7A1	set(['ZAN', 'UBASH3A', 'PLCB3', 'ABCG4', 'NRK', 'PCDHB3', 'LAMA3', 'FBN2', 'AGAP3', 'ABCB4', 'PRPF6', 'ITPR3', 'UBR4', 'C2orf55', 'LYST', 'CFTR', 'RB1CC1', 'NCAN'])
ZFC3H1	set(['DMD', 'FHDC1', 'KLF17', 'LRBA', 'RIMBP2', 'SHROOM2', 'MAGEC2', 'MAST2', 'PRPF8', 'MAP3K12', 'UHRF1BP1', 'RAG1', 'TRPA1', 'NBAS'])
PTEN	set(['RARA', 'TP53(D)', 'NF1,RAB11FIP4(D)', 'SCNN1B'])
STARD8	set(['TPTE2', 'PRTG'])
GPR116	set(['SDK1', 'ARAP3', 'TAF1L', 'KIAA0649', 'CD163L1', 'SCN5A', 'KCNV1'])
GPR112	set(['DPP10', 'NWD1', 'AFF2', 'SLC12A5', 'PLCG2', 'TMPRSS15', 'AHNAK2', 'C21orf58'])
ITGA8	set(['MLL3', 'SUPT6H', 'MAP3K15', 'ECT2L'])
PTPRN2	set(['EP400', 'SCN5A', 'NCAN', 'C7'])
AFM	set(['SCNN1B', 'ATP10B', 'GMIP', 'C3', 'COL5A3', 'KCNN2', 'DKC1', 'COL6A1', 'ITGAD', 'TPR'])
RRP1B	set(['DNAH2', 'MYH11', 'ZNF536', 'NACA', 'CASZ1', 'ANO5', 'CARD11', 'SLIT3', 'PCDH7', 'SPAG17', 'WDFY3', 'BCL9', 'KCNA4', 'FLNC', 'PRKD3'])
GABRG2	set(['C8B', 'LRRK1', 'MYO15A'])
ITGA4	set(['MYH3', 'CNTN4', 'CELSR1', 'PKHD1L1', 'LILRB1'])
ANO2	set(['KIAA1409', 'PCDHA8', 'IL4R', 'ATP10B', 'CROCC', 'PRDM9', 'RARA', 'IGF2BP1', 'EVPL', 'ATP2B3', 'MYO15A'])
MLL3	set(['ITGA8', 'C12orf51', 'DNAH9', 'UGT2A1', 'GLI2', 'PCLO', 'TMPRSS15', 'GRM6', 'LYST'])
MLL2	set(['SBF1', 'SPTBN4', 'KIAA1244', 'ABP1', 'SCN10A', 'DLGAP2', 'MAST2', 'COL1A2', 'PCDHGA1', 'BCAR3'])
MYO18B	set(['PRIC285', 'TPTE2', 'RHBDF2', 'PIK3C2G', 'TPR', 'DISP1', 'EVPL', 'PRKD3'])
PUM1	set(['BCL11A'])
