Gene	Entries
NOX3	set(['MIR3201(D),FAM19A5(D),LOC339685(D)'])
MLL4	set(['UBASH3A', 'ACACB', 'NWD1', 'CELSR3', 'MEGF8', 'SPEG', 'ATP2B3'])
CHL1	set(['PLXNB2', 'CCDC158', 'KCNC2', 'C9orf150'])
TMEM132D	set(['LRP2', 'SMC1A', 'TGM3', 'RASGRF1', 'DNAH8', 'AFF2', 'FTMT', 'ZNF831', 'HECW1', 'TRIML1', 'LRRK1'])
PDPN,PRDM2(A)	set(['SRGAP1'])
SPAG17	set(['LAMA1', 'FLNC', 'WDFY3', 'LRP4', 'MYH11', 'RRP1B', 'OTOA', 'CARD11', 'SLCO5A1', 'TIAM2', 'ESPL1', 'AHNAK2', 'KCNA4', 'CACNA1S', 'PKDREJ', 'PRKD3'])
PKHD1L1	set(['UBE3C', 'ITGA4', 'KIDINS220', 'DGKD'])
APOB	set(['IL4R', 'ACSM4', 'PRKDC', 'ELMO1', 'LRRIQ1', 'POTEB', 'PKD1L1'])
LILRB1	set(['PCDHA13', 'ITGA4'])
SUSD3	set(['KLHL34', 'HOOK1', 'ELFN2'])
EPPK1	set(['MDN1', 'DNAH10', 'UBE3C', 'DNAH8', 'CDH9', 'MEGF8', 'HECW1', 'SLC22A2', 'TRIML1', 'SPEG', 'SYNE2'])
ADARB2(D)	set(['TP53', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)'])
ZNF407(D)	set(['JHDM1D'])
PCLO	set(['RERE', 'KIAA1409', 'SAMD9L', 'MYH14', 'SRRM2', 'ENPP2', 'DOCK4', 'MLL3', 'ANK2', 'HERC2', 'IGHMBP2', 'C7orf52', 'COL24A1', 'ZNF292'])
NF1	set(['EPHB2', 'SAMD9L', 'ZNF335', 'NCAN', 'PKD1L1', 'WBSCR17', 'LZTR1', 'L1CAM', 'PPEF2', 'USP43', 'SHROOM2', 'GRIN2A', 'NF1,RAB11FIP4(D)', 'NFKBIL2', 'TG', 'CHD5', 'PTCH1', 'SPTBN4', 'CFTR', 'PCNT'])
GRM6	set(['PCDHGB3', 'PDGFRA', 'USH2A', 'ACACB', 'LYST', 'MLL3', 'MAGEB1', 'COL1A2', 'ABCB4', 'DACT1', 'FLT3', 'DSCAML1'])
OR5AR1	set(['TP53'])
MYCNOS,MYCN(A)	set(['TP53'])
SDK1	set(['RERE', 'CDH18', 'SCN10A', 'CNTNAP5', 'GPR116', 'TRPM2'])
SCN10A	set(['SDK1', 'DNAH3', 'CDH18', 'DEAF1', 'TAF1L', 'MLL2', 'ITGAM', 'TRPM3'])
HEATR5A	set(['NOS3', 'HSPA6', 'DNAH5', 'UMOD', 'HNF4A', 'PCDHGA11', 'DSG3', 'N4BP3'])
DST	set(['HEPH', 'FAM47A', 'CACNA1D', 'MYH14', 'ACVR2A'])
KCNQ5	set(['ITGB2', 'F5', 'KCNC2', 'CACNA1A', 'BCLAF1', 'KIAA0649', 'KIF1B', 'ZFHX4', 'GABRB2', 'KDM2B', 'COL12A1'])
DSP	set(['COL11A1', 'EPX', 'WWC3', 'AHNAK', 'BZRAP1', 'DOCK4', 'COL5A3', 'IGHMBP2', 'COL6A3', 'SHPRH', 'DNHD1'])
CUX2	set(['UBASH3A', 'DNAH10', 'COL11A2', 'PKD1L2', 'HUWE1', 'NWD1', 'VWF', 'PCDHA12'])
COL4A2	set(['ULK2', 'TLL1', 'DOCK8', 'TERT', 'POM121L12', 'ABCA13', 'STAG2', 'SLCO6A1', 'ABP1', 'PCDHGA11', 'SRMS', 'ODZ1', 'PSD4', 'VWF', 'FLNC', 'DNAH2', 'HYDIN'])
NCAN	set(['PTPRN2', 'NRK', 'PTCH1', 'ABCG4', 'COL7A1', 'PIK3CG', 'SRMS', 'EP400', 'NF1', 'PCDHGA1', 'CACNA1S'])
HMCN1	set(['MYOM3', 'MYH11', 'PREX1', 'SP1', 'CARD11', 'ALS2CR11', 'COL14A1', 'ZFHX3', 'PCDHGB3', 'SLCO5A1', 'BCL9', 'SCAF1', 'IGF2BP1', 'MUC5B', 'PRPF6'])
C21orf58	set(['LRP4', 'GRHL3', 'KIDINS220', 'C8B', 'SLCO5A1', 'ABCA4', 'BCL9', 'MSH6', 'TMTC1', 'TMPRSS15', 'RPGRIP1L', 'GPR112', 'N4BP3'])
SPAM1	set(['FAM47A', 'PDZD2', 'KIF1B'])
XIRP2	set(['SLC6A3', 'BPTF', 'DMD', 'COL11A2', 'GRHL3', 'DUOX2', 'CACNA1E', 'AGAP3', 'POM121L12', 'DISP1', 'HYDIN'])
ITGAX	set(['KRT23', 'TRIO', 'LZTR1', 'CASKIN2'])
COL22A1	set(['DOCK8', 'DNAH10', 'ANO5', 'HSPG2', 'ZNF831', 'ODZ3', 'MUC5B', 'SMARCA1', 'HYDIN', 'CACNA1H', 'PCDHB3', 'PCDHGA11', 'ESPL1', 'C12orf35', 'C7', 'MYT1', 'TRIO', 'DOCK1', 'TMTC1', 'WNK3', 'HOOK1', 'CELSR3', 'CROCC', 'EP400', 'PLEC', 'PCNT', 'ATP2B3', 'UBR4', 'ZAN', 'FHOD3', 'PTPRS', 'ADCY1', 'COL1A2', 'C2orf55', 'IGHMBP2', 'SCN5A'])
PDE6B	set(['TLL1', 'PLCB3', 'WBSCR17', 'COL11A2', 'TMPRSS15', 'CABIN1', 'KANK1', 'ITPR3', 'PRPF6'])
CNGB1	set(['DACT1'])
MAGEB1	set(['MYH2', 'GRM6', 'KIF1B', 'HEATR7B2'])
WDFY3	set(['MYH11', 'ADCY1', 'ODZ1', 'SHROOM2', 'RRP1B', 'AHNAK', 'TMPRSS6', 'SPAG17', 'SALL4', 'PRTG', 'CDC42BPB', 'RPGRIP1L', 'C12orf35', 'KCNA4', 'FLNC', 'RFX6', 'N4BP3', 'PRKD3'])
ITGAM	set(['DBH', 'UGT3A2', 'CDH18', 'SCN10A', 'PRSS16', 'ATP6V0A4', 'KCNV1'])
SLC22A2	set(['OBSCN', 'CALN1', 'ASTL', 'ZFHX4', 'DNAH9', 'PCDHGA11', 'PIK3CG', 'EPPK1', 'ANK1', 'RABGGTA', 'HECW1', 'TRIML1', 'KIAA1210', 'TRIO'])
GABRE	set(['TBC1D2'])
FLNA	set(['FLNC', 'EPHA7', 'PLEKHG4B', 'MYH9', 'CELSR3', 'NIPBL', 'MSH6', 'DEAF1', 'TIAM2', 'TRRAP', 'DPPA4', 'ZNF599'])
VWF	set(['DNAH10', 'DNAH5', 'ABCB4', 'PCDHGA11', 'SPTA1', 'CUX2', 'COL4A2', 'OBSL1', 'KANK1', 'PCDHA12', 'FLNC', 'BCAR3'])
FLNC	set(['MYH11', 'DOCK8', 'DNAH11', 'RRP1B', 'HSPG2', 'MSH6', 'SHROOM2', 'ST14', 'ODZ1', 'C12orf35', 'SPTBN4', 'SMARCA4', 'PLEKHG4B', 'WHSC1L1', 'ZNF318', 'SKIV2L', 'SLIT3', 'TRIML1', 'RPGRIP1L', 'CACNA1S', 'ULK2', 'AIM1', 'COL4A2', 'SYNE2', 'ABCG4', 'ADCY1', 'PKD1', 'SPAG17', 'WDFY3', 'FLNA', 'VWF', 'SCAF1'])
ITGAD	set(['AFM', 'MYH3', 'HOOK1', 'KIAA0649', 'ZBTB20(D),LSAMP(D)', 'SCNN1B', 'IGF2BP1', 'PCDHA13'])
PRDM9	set(['SPTA1', 'EVPL', 'ATP2B3', 'CASKIN2', 'ANO2'])
KRT19	set(['HECW1', 'PRPF6'])
ZNF292	set(['KIAA1409', 'DOCK8', 'L1CAM', 'DOCK4', 'ODZ1', 'EVPL', 'C12orf35', 'GABRA1', 'RERE', 'MED12', 'PCLO', 'DNMBP', 'PIK3C2G', 'ADAMTS20', 'COL24A1', 'TMEM2', 'ZAN', 'FHOD3', 'INPP5D', 'ADCY1', 'PCDHA8', 'MYLK', 'ATP6V0A4', 'COL6A1', 'IGHMBP2'])
MYH11	set(['NLRP5', 'ASTL', 'RRP1B', 'SPAG17', 'SPEN', 'ABCA4', 'WDFY3', 'RPGRIP1L', 'HMCN1', 'FLNC'])
MYH13	set(['MXRA5', 'SPEG', 'TXNDC3', 'DEAF1', 'DNHD1'])
MYH14	set(['SLC4A11', 'ZDBF2', 'CAND1', 'DST', 'PCLO', 'PCDH17'])
DEAF1	set(['LRP2', 'ZMYM3', 'BSN', 'MYH13', 'MSH6', 'MYH9', 'BCL9', 'SCN10A', 'NIPBL', 'FAT2', 'TIAM2', 'ATR', 'RELN', 'FLNA', 'CC2D1A', 'TNS1', 'ZNF599', 'TESK1', 'PRTG'])
MIR4710,INF2,ADSSL1,SIVA1,AKT1,ZBTB42(A)	set(['EGFR(A)'])
SRGAP1	set(['PDPN,PRDM2(A)', 'NLRP7', 'PAPPA', 'GRM8', 'HYDIN'])
PRKDC	set(['RERE', 'APOB', 'ARHGEF19', 'HNF4A', 'MSH6', 'COL24A1', 'PCDHA12'])
SPTA1	set(['SUPT6H', 'ADCY1', 'RB1(D)', 'SPEN', 'PRDM9', 'CNTNAP5', 'CDK4(A)', 'C12orf35', 'GRIN2A', 'AHNAK2', 'ATP2B3', 'VWF', 'BCAR3', 'MAP3K15'])
SHROOM2	set(['DOCK8', 'USH2A', 'ZNF318', 'DUOX2', 'TGM2', 'ZFHX3', 'PTCH1', 'ST14', 'ARHGAP9', 'ODZ1', 'C12orf35', 'SPTBN4', 'SMARCA4', 'PALM2-AKAP2', 'CROCC', 'DCC', 'SLCO5A1', 'SKIV2L', 'SLIT3', 'NFKBIL2', 'NF1', 'PCDHGA11', 'CACNA1S', 'NBAS', 'ZFC3H1', 'ULK2', 'DYSF', 'FBN2', 'KIDINS220', 'FBN1', 'MAST2', 'PCNT', 'SYNE2', 'FLNC', 'ADCY1', 'KIF1B', 'PTPN11', 'SRRM2', 'MAP3K12', 'WDFY3', 'SCN5A', 'SCAF1'])
AKAP13	set(['LRP2', 'ZMYM3', 'NOS3', 'RPGRIP1L', 'ADCY1', 'LRP4', 'DDX11', 'ZNF318', 'ARHGEF19', 'PTPN11', 'MSH6', 'SPEN', 'PCDHA1', 'CNTNAP5', 'SUPT6H', 'C12orf35', 'EVPL'])
ITPR3	set(['CACNA1H', 'NRK', 'PLCB3', 'CHD5', 'COL7A1', 'COL11A2', 'ZAN', 'CABIN1', 'PDE6B', 'AGAP3', 'WBSCR17', 'KANK1', 'RB1CC1', 'DYSF', 'KIF21B'])
ZNF704	set(['KCNV1'])
TLL1	set(['DNAH2', 'ULK2', 'NLRP7', 'ABCG4', 'CABIN1', 'SLCO6A1', 'PDE6B', 'SRMS', 'COL4A2', 'PSD4', 'TG', 'CACNA1S', 'HYDIN'])
CIITA	set(['LAMA1', 'SVIL', 'PCDHB3', 'DOCK1', 'SBF1', 'SPHKAP', 'MXRA5', 'PTCHD2', 'PDZD2', 'GMIP', 'SYNE1', 'SIPA1L3', 'SPTBN5', 'MYT1'])
HFM1	set(['ACVR2A', 'PTPN11', 'NOS3', 'COL6A3'])
BSN	set(['ZDBF2', 'CELSR3', 'DEAF1', 'MSH6', 'XDH', 'PCDH17', 'MET,CAPZA2,ST7-AS1,ST7,ST7-OT4(A)', 'ZNF599'])
BIRC6	set(['NOS1', 'LAMC3', 'ZNF599', 'DNAH9'])
NEFH	set(['TRRAP'])
RIMS2	set(['COL24A1', 'LRP1B', 'SRRM2', 'AIM1', 'HECW1'])
KIF21B	set(['ZAN', 'MYH2', 'ARAP3', 'KIAA0649', 'ITPR3', 'RB1CC1'])
LAMA1	set(['MICALCL', 'PCDHB3', 'CIITA', 'PTPN11', 'SPAG17', 'PCDHGB3', 'IGF2BP1', 'MXRA5', 'ABCC9', 'PTCHD2', 'ADAMTS20', 'DNAH10', 'TMEM2', 'TAF1L', 'MYT1'])
C10orf12	set(['AIM1'])
LAMA3	set(['SUPT6H', 'COL7A1', 'ELTD1', 'UHRF1BP1', 'CACNA2D1', 'LYST'])
LAMA5	set(['UGT3A2', 'DLGAP2', 'PLCB2', 'NOS1'])
WBSCR17	set(['SBF1', 'CALN1', 'PLCB3', 'CHD5', 'ADCY1', 'COL11A2', 'ZNF318', 'DNAH8', 'KANK1', 'MEGF8', 'CABIN1', 'PDE6B', 'MAST2', 'SLIT3', 'NF1', 'TRIML1', 'ITPR3', 'ATP2B3'])
PPEF2	set(['RERE', 'ZAN', 'RIMBP2', 'TAF1L', 'SLC12A5', 'ABCC8', 'NF1', 'GMIP', 'MYO15A'])
MXRA5	set(['LAMA1', 'MYH13', 'PCDHB3', 'CIITA', 'CROCC', 'PTCHD2', 'ODZ1', 'TMEM2', 'DSG4', 'RELN'])
SCAF1	set(['TGM2', 'SLITRK2', 'USH2A', 'ZNF318', 'AHNAK', 'CELSR2', 'SHROOM2', 'HMCN1', 'FLNC', 'PTPN11'])
ZPBP	set(['TJP3', 'PLCB2', 'KEL', 'PRPF8', 'EGFR', 'KIAA0649'])
SLC27A2	set(['GRIN2A'])
KDM2B	set(['SAMD9L', 'KCNQ5', 'AHNAK', 'HSPG2', 'ANK2', 'TCHH', 'TRPM3', 'GRIN2A'])
F5	set(['ANKRD52', 'KCNQ5', 'ADCY1'])
PLCG2	set(['NLRP7', 'GPR112'])
F8	set(['BBS1', 'NLRP11', 'SLIT3', 'CCDC60', 'ZNF208'])
CCDC114	set(['COL6A3', 'SVIL', 'LRBA', 'BRPF3', 'CNTN4', 'FCRL2', 'CPS1', 'COL11A1'])
NF1,RAB11FIP4(D)	set(['PTEN', 'NF1'])
TAF1L	set(['RERE', 'LAMA1', 'DMD', 'ARAP3', 'PKD1L2', 'AOX1', 'PPEF2', 'PDGFRA', 'SCN10A', 'CD163L1', 'GPR116', 'PTPRS'])
ABCA4	set(['MYOM3', 'ZMYM3', 'LRP4', 'MYH11', 'ZNF318', 'ELTD1', 'BCL9', 'C21orf58'])
HTR3A	set(['SP1', 'ECT2L', 'ALS2CR11', 'GPC4', 'DOCK5'])
UGT2B28	set(['DIP2A'])
DNAH8	set(['OBSCN', 'SLC12A5', 'TGM3', 'WBSCR17', 'COL11A2', 'UBE3C', 'TRIML1', 'TDRD6', 'EPPK1', 'PTPRD', 'CACNA1A', 'TMEM132D'])
PRKD3	set(['RPGRIP1L', 'FHDC1', 'CASZ1', 'EPX', 'ODZ1', 'RRP1B', 'LRP4', 'AHNAK', 'NLGN4X', 'ZNF318', 'SPAG17', 'SLCO5A1', 'MYO18B', 'MAGEC2', 'ESPL1', 'PDZD2', 'WNK3', 'EPHA10', 'WDFY3', 'CPS1', 'PRTG'])
KCNC2	set(['SCN11A', 'CALN1', 'KCNQ5', 'SBF1', 'LRP1B', 'CHL1', 'DSCAM'])
NPR1	set(['ZMYM3', 'NLRP12', 'KCNV1', 'NOTCH3'])
HNF4A	set(['CYP4F22', 'LRP4', 'HEATR5A', 'PRKDC', 'UPF1', 'COL12A1'])
EGFR	set(['EGFR(A)', 'ZPBP', 'ELMO1', 'TRHDE', 'STXBP5L'])
KIAA0649	set(['RERE', 'ZMYM3', 'HSPG2', 'SVIL', 'KIF1B', 'LYST', 'ZPBP', 'HOOK1', 'SPHKAP', 'HECW1', 'KCNQ5', 'GPR116', 'ITGAD', 'DNHD1', 'KIF21B'])
MC3R	set(['TEX15', 'ANO5', 'CACNA1F'])
FRRS1	set(['BBS1', 'SH3TC1'])
RB1CC1	set(['ZAN', 'PKD1L1', 'PKD1L2', 'PCDHB3', 'PCDHGA11', 'SBF1', 'ZNF318', 'AGAP3', 'COL7A1', 'SRMS', 'ITPR3', 'PCDHGA1', 'C7', 'KIF21B'])
SIM2	set(['ZNF536', 'LRP4', 'STAG2', 'ZFHX3', 'BCL9', 'SPTBN5', 'CARD6'])
SIM1	set(['CDH9', 'SMARCA1', 'FBN1', 'IGF2BP1'])
DDX11	set(['ZMYM3', 'UHRF1BP1', 'TJP3', 'EPHA7', 'PTPN11', 'MSH6', 'PAPPA', 'ST14', 'PTPRD', 'AKAP13', 'DSCAM', 'COL6A6'])
DYNC1I1	set(['SLC13A3'])
PLEKHG4B	set(['FLNC', 'COL11A1', 'JHDM1D', 'C8B', 'SIGLEC8', 'PLB1', 'FLNA', 'SIPA1L2'])
ATP13A2	set(['MYO15A', 'SCN5A', 'NBAS', 'RB1', 'DGKD'])
SULF2	set(['PHLPP2'])
KIF4A	set(['GABRA1'])
SLCO5A1	set(['CACNA1S', 'RPL5,FAM69A,SNORA66(D)', 'OTOA', 'SPAG17', 'SHROOM2', 'TIAM2', 'SKIV2L', 'SLIT3', 'ADAMTS16', 'ESPL1', 'HMCN1', 'UBR4', 'C21orf58', 'PRKD3'])
CDKN2A(D)	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)'])
SLIT3	set(['DOCK8', 'DNAH10', 'ZNF318', 'ANO5', 'DOCK1', 'SHROOM2', 'ST14', 'ODZ3', 'ARHGAP9', 'SMARCA1', 'SVIL', 'SPTBN4', 'SMARCA4', 'SYNE2', 'WBSCR17', 'CABIN1', 'PCDHB3', 'AHNAK', 'SLCO5A1', 'TIAM2', 'SKIV2L', 'ESPL1', 'FLNC', 'C12orf35', 'RRP1B', 'C7', 'UGGT1', 'ULK2', 'ZAN', 'TRIO', 'CASZ1', 'RIMBP2', 'ATP10B', 'CROCC', 'TRRAP', 'PCNT', 'ATP2B3', 'PCDHA2', 'FHOD3', 'PTPRS', 'ADCY1', 'KIF1B', 'F8', 'PCDHA8', 'C2orf55', 'EP400', 'SCN5A', 'PTCHD2'])
SP1	set(['MDN1', 'NLRP7', 'PKD1L1', 'CABIN1', 'PCDHB3', 'TBC1D2', 'C3', 'CELSR1', 'ZNF318', 'SRMS', 'PLEC', 'HTR3A', 'PTPN3', 'EP400', 'HMCN1', 'PCDHGA1', 'PRPF6'])
HOMER1	set(['CAND1', 'CCDC108', 'CACNA1E', 'USP43', 'FAT2', 'GRM8', 'ZNF208', 'POM121L12', 'ARHGEF19', 'DISP1', 'DSG3', 'C7'])
LRRIQ1	set(['APOB', 'IL4R', 'KIAA1244', 'TMEM146', 'SRMS', 'TRPA1', 'SYNE2'])
SIPA1L3	set(['MAP1B', 'PTPRS', 'PCDHB3', 'CIITA', 'NEB', 'SKIV2L', 'ODZ3', 'GON4L', 'TRIML1', 'EP400', 'PRPF6', 'MYT1'])
SIPA1L2	set(['NRK', 'NACA', 'SLITRK2', 'PLEKHG4B', 'RFX6', 'MYH9', 'ACRC', 'NIPBL', 'PTPRD', 'PTCHD2', 'TESK1', 'N4BP3'])
POTEB	set(['UGT3A2', 'BCLAF1', 'APOB', 'STXBP5L', 'ACACB'])
N4BP3	set(['ZNF335', 'ZNF599', 'CASZ1', 'LRP4', 'BCL9', 'HEATR5A', 'C15orf2', 'USP6', 'KIDINS220', 'SPTBN4', 'ALS2CR11', 'ST14', 'ESPL1', 'MSH6', 'DPPA4', 'DKC1', 'WDFY3', 'TNS1', 'SIPA1L2', 'C21orf58'])
PDZD2	set(['CIITA', 'PCDHA8', 'LRRK1', 'EPX', 'ARHGEF19', 'PTPN11', 'MST1R', 'SPAM1', 'TMEM146', 'C8B', 'KIF1B', 'AHNAK', 'MYT1', 'DNMBP', 'RFX6', 'DGKD', 'PRKD3'])
NOS1	set(['BIRC6', 'PLCB2', 'GPC4', 'LAMA5', 'KCNV1'])
NOS3	set(['ITGB2', 'DNAH5', 'HEATR5A', 'PTPN11', 'FBN1', 'HFM1', 'PCDH17', 'AKAP13', 'PCNT', 'DKC1', 'FCRL2', 'TRPV6', 'FLG', 'COL6A6'])
NLGN4X	set(['FHDC1', 'MAGEC2', 'RBMS3', 'PRKD3'])
FBN2	set(['UBASH3A', 'TERT', 'COL7A1', 'CACNA1S', 'ABP1', 'AFF2', 'SHROOM2', 'ANK1', 'COL24A1', 'PLXND1', 'SCN5A', 'CFTR'])
QKI	set(['OBSCN', 'ZNF335', 'USH2A', 'NALCN', 'MACF1', 'ARHGEF2', 'SIGLEC8', 'STXBP5L'])
FBN1	set(['SIM1', 'NOS3', 'PTPN11', 'KIDINS220', 'SHROOM2', 'GON4L', 'IGF2BP1', 'PCDH17'])
PLB1	set(['PAN3', 'MUC5B', 'COL11A1', 'PLEKHG4B'])
NMUR2	set(['TPTE2', 'ZC3H12B', 'ADAMTS12'])
PCSK6	set(['PLCB3', 'WNK2', 'CEP250', 'ST14', 'UMOD', 'NIPBL', 'COL6A1'])
ANK1	set(['CCDC45', 'DACT1', 'LGSN', 'PKD1L1', 'CABIN1', 'PIK3CA', 'USP43', 'ABCB5', 'TERT', 'EPHB2', 'FBN2', 'BZRAP1', 'C15orf2', 'CELSR1', 'PCNT', 'SYNE2', 'CACNA1S', 'PKD1', 'NWD1', 'ABCC9', 'SLC22A2', 'PTCH1'])
MAP3K12	set(['TRIO', 'SPTBN4', 'SCN5A', 'SRRM2', 'ELTD1', 'PCDHGA11', 'SHROOM2', 'MAST2', 'SRMS', 'PLEC', 'NFKBIL2', 'COL6A1', 'SYNE2', 'PCDHA13', 'ZFC3H1'])
