Gene	Entries
RB1CC1	set(['DNAH10', 'DNAH11', 'COL11A2', 'ABP1', 'SBF1', 'PRPF6', 'CACNA1H', 'GLI2', 'NCAN', 'PKD1L1', 'ADAMTS3', 'SLCO6A1', 'DCC', 'WHSC1L1', 'PIK3CG', 'DLGAP2', 'SRMS', 'PLXND1', 'CACNA1S', 'C2orf55', 'MICALCL', 'CASZ1', 'DYSF', 'KIAA1244', 'SP1', 'TRIML1', 'BZRAP1', 'PAPPA', 'FHOD3', 'IGHMBP2', 'ATP2B3', 'COL7A1', 'ZAN', 'DBH', 'CALN1', 'ADCY1', 'SPEG', 'LZTR1', 'CFTR', 'DOCK8', 'HSPG2', 'DOCK5', 'MLL2', 'ST14', 'EP400', 'MLL4', 'C12orf35', 'PLXNB3', 'CHD5', 'CABIN1', 'PCDHB3', 'USP43', 'EPPK1', 'SKIV2L', 'PRKG2', 'MYT1', 'EPHB2', 'MAP1B', 'PLCB3', 'STAG2', 'CUX2', 'HERC2', 'MAGEB6', 'COL4A2', 'PTPN3', 'ITPR3', 'PCDHA12', 'PCDHGA1', 'BCAR3', 'DNAH2', 'ABCA13', 'ABCG4', 'PKD1L2', 'DNAH5', 'OTOA', 'COL22A1', 'NWD1', 'PDE6B', 'UBR4', 'HECW1', 'SLC22A2', 'GPR98', 'PLEC', 'VWF', 'SCN5A', 'MDN1', 'CCDC45', 'NEB', 'BCLAF1', 'ZNF831', 'SHROOM2', 'CACNA1F', 'KCNA4', 'ITIH5', 'DOCK11', 'MYH2', 'TLL1', 'NLRP7', 'CIITA', 'OBSL1', 'DSG3', 'C7', 'RIMS2', 'UGGT1', 'LAMA1', 'TRIO', 'DOCK1', 'WBSCR17', 'ACACB', 'CEP250', 'CELSR3', 'CELSR1', 'MAST2', 'AGAP3', 'MXRA5', 'PTCHD2', 'SYNE1', 'SYNE2', 'LRP1', 'PKD1', 'COL1A2', 'KIF21B', 'KCNC2', 'ZNF318', 'PLCG2', 'MEGF8', 'CNTNAP2', 'ODZ3', 'ODZ1', 'SMARCA1', 'SPTBN5', 'SPTBN4', 'SMARCA4', 'UBASH3A', 'ARAP3', 'PCDHGA11', 'BRPF3', 'SLIT3', 'NFKBIL2', 'ABCB4', 'TG', 'SIPA1L3', 'TERT', 'POTEB', 'ITGAM', 'ULK2', 'LTBP2', 'HOOK2', 'FBN2', 'CROCC', 'PRSS16', 'PCNT', 'NRK', 'FLNC', 'PTPRS', 'CALCR', 'SRRM2', 'ANK1', 'MAP3K12', 'KANK1', 'COL6A1', 'PTCH1', 'COL6A6'])
SIM2	set(['TGM2', 'USH2A', 'MYH11', 'HUWE1', 'PTCHD2', 'CACNA1H', 'ASTL', 'CACNA1D', 'ACSM4', 'ESPL1', 'RELN', 'SLIT3', 'CACNA1S', 'ZMYM3', 'SLITRK2', 'CASZ1', 'ARHGEF19', 'TESK1', 'CALN1', 'ADCY1', 'PTPN11', 'SPEN', 'FAT2', 'SLC17A6', 'ITGA8', 'DOCK8', 'RFX6', 'RRP1B', 'DUOX2', 'MLL3', 'ST14', 'NACA', 'DPPA4', 'CHL1', 'C12orf35', 'ZNF599', 'CHD5', 'PKDREJ', 'TIAM2', 'SKIV2L', 'TNS1', 'CARD6', 'MYH2', 'EPHB1', 'STAG2', 'DST', 'TRRAP', 'PLEC', 'KIF1B', 'EVPL', 'HMCN1', 'PCDHA13', 'C21orf58', 'ITGAX', 'OTOA', 'DNAH9', 'WDFY3', 'PDZD2', 'FLNA', 'FLNC', 'CREBBP', 'MYOM3', 'SCN7A', 'EPHA7', 'DEAF1', 'MYO1B', 'ZFHX3', 'ATP10B', 'SHROOM2', 'ATR', 'AKAP13', 'ITPR3', 'NLRP5', 'ZNF536', 'ASPM', 'MYH9', 'ACVR2A', 'TRIO', 'LAMA5', 'PPEF2', 'CELSR2', 'SALL4', 'SPAG17', 'MSH6', 'SYNE2', 'TJP3', 'NUP210L', 'LRP4', 'PKD1', 'TAF1L', 'ABCA4', 'PRKD3', 'KCNC2', 'ZNF318', 'BIRC6', 'USP6', 'C8B', 'ODZ1', 'DSCAM', 'SPTBN5', 'SPTBN4', 'SMARCA4', 'PAN3', 'DDX11', 'PLEKHG4B', 'SLCO5A1', 'NIPBL', 'GAK', 'PRTG', 'RPGRIP1L', 'SIPA1L2', 'N4BP3', 'ULK2', 'CARD11', 'ELTD1', 'KIDINS220', 'PLB1', 'LRP1B', 'PCDHA2', 'PCDHA1', 'PCDHA8', 'COL14A1', 'ACRC', 'MAP3K12', 'PTPRD', 'BCL9', 'AHNAK', 'SCAF1'])
QKI	set(['OBSCN', 'ZNF335', 'DNAH11', 'USH2A', 'NOS1', 'MACF1', 'DOCK5', 'C7orf52', 'DSCAM', 'SMARCA4', 'CACNA2D1', 'SCN9A', 'NALCN', 'PLEKHG4B', 'AHNAK', 'ARHGEF2', 'AFF2', 'PCLO', 'DUS3L', 'KDM2B', 'CARD6', 'ZMYM3', 'DYSF', 'CROCC', 'HERC1', 'RAG1', 'MXRA5', 'ITPR3', 'SETD2', 'SAMD9L', 'KIF4B', 'DNAH8', 'GRIN2A', 'SIGLEC8', 'HTR3A', 'L1CAM', 'GPC4', 'STXBP5L'])
DDX11	set(['TGM2', 'FRYL', 'USH2A', 'HUWE1', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)', 'PTCHD2', 'ASTL', 'PIK3CA', 'DEAF1', 'TIAM2', 'ESPL1', 'RELN', 'CACNA1S', 'ZMYM3', 'SLITRK2', 'CASZ1', 'TRHDE', 'ARHGEF19', 'PAPPA', 'TPR', 'TESK1', 'ADCY1', 'LRP4', 'RFX6', 'SPEN', 'FAT2', 'PKHD1', 'PTPN11', 'DLG5', 'DOCK8', 'RRP1B', 'ST14', 'UHRF1BP1', 'CC2D1A', 'DPPA4', 'C12orf35', 'ZNF599', 'FLG', 'PLXNB3', 'AHNAK', 'ADARB2(D)', 'SKIV2L', 'TNS1', 'ATP10B', 'NACA', 'TRRAP', 'EVPL', 'HMCN1', 'C21orf58', 'SUPT6H', 'LRBA', 'DNAH5', 'OTOA', 'WDFY3', 'PDZD2', 'FLNA', 'FLNC', 'COL12A1', 'MYOM3', 'MYH11', 'MSH6', 'EPHA7', 'ZFHX3', 'SHROOM2', 'ATR', 'AKAP13', 'ZNF536', 'MYH9', 'HFM1', 'RIMS2', 'ACACB', 'CEP250', 'CELSR2', 'SALL4', 'SCAF1', 'SYNE1', 'SYNE2', 'LRP2', 'TJP3', 'KIF1B', 'SPAG17', 'ABCA4', 'PRKD3', 'ZNF318', 'USP6', 'C8B', 'ODZ1', 'DSCAM', 'SPTBN4', 'SMARCA4', 'SIM2', 'PLEKHG4B', 'SLCO5A1', 'NIPBL', 'SLIT3', 'RPGRIP1L', 'SIPA1L2', 'N4BP3', 'ULK2', 'NOS3', 'CARD11', 'KIDINS220', 'GPC4', 'PCDHA2', 'PCDHA1', 'COL5A3', 'PCDHA8', 'COL14A1', 'ACRC', 'PTPRD', 'BCL9', 'COL6A3', 'COL6A6', 'PKDREJ', 'PRTG'])
DYNC1I1	set(['KCNH5', 'COL22A1', 'RASGRF1', 'LRRK2', 'SLC13A3', 'HOOK1', 'DSP', 'HERC2', 'LRP1', 'DOCK4', 'LINC00478(A)', 'SAMSN1,LOC388813,NRIP1,USP25,LINC00478,MIR99A,MIRLET7C,MIR125B2,C21orf37,CXADR,BTG3,C21orf91-OT1,C21orf91,CHODL-AS1,CHODL,TMPRSS15(A)', 'AADACL4', 'MUC5B', 'NELL2(A)', 'SHPRH'])
PLEKHG4B	set(['ZBTB20(D),LSAMP(D)', 'TGM2', 'COL11A1', 'COL11A2', 'HUWE1', 'FTMT', 'PTCHD2', 'L1CAM', 'HSPA6', 'ASTL', 'USH2A', 'PKD1L2', 'PIK3CA', 'ARHGEF2', 'DSCAM', 'NAV2', 'ESPL1', 'CACNA1S', 'ZMYM3', 'SLITRK2', 'CASZ1', 'TRHDE', 'ARHGEF19', 'TDRD6', 'PIK3C2G', 'RPGRIP1L', 'TESK1', 'ADCY1', 'KIF1B', 'PTPN11', 'SPEN', 'FAT2', 'RFX6', 'DOCK8', 'LRFN5', 'RRP1B', 'DOCK5', 'ST14', 'DPPA4', 'C12orf35', 'ZNF599', 'PKDREJ', 'TIAM2', 'SKIV2L', 'SCNN1B', 'TNS1', 'CARD11', 'AFM', 'NACA', 'HEATR5A', 'DST', 'TRRAP', 'CUX2', 'RAG1', 'PTPN3', 'EVPL', 'PCDHGA1', 'C21orf58', 'SPAM1', 'OTOA', 'DNAH8', 'HNF4A', 'ATP6V0A4', 'WDFY3', 'PDZD2', 'FLNA', 'FLNC', 'ITGAD', 'MYOM3', 'MYH11', 'MSH6', 'EPHA7', 'DEAF1', 'MYO1B', 'ZFHX3', 'SHROOM2', 'ATR', 'AKAP13', 'MUC5B', 'FLT3', 'MGAM', 'ENPEP', 'ZNF536', 'CELSR2', 'MYH9', 'UGT3A2', 'KDR', 'LAMA1', 'KIDINS220', 'CACNA1D', 'COL5A3', 'SCAF1', 'SYNE2', 'LRP2', 'TJP3', 'LRP4', 'CCDC114', 'SPAG17', 'ABCA4', 'KIAA1210', 'FAM47A', 'PRKD3', 'OBSCN', 'SVIL', 'TRH(D)', 'JHDM1D', 'BCL9', 'ZNF318', 'CDH18', 'USP6', 'C8B', 'ODZ1', 'TMEM132D', 'MICALCL', 'SPTBN4', 'SMARCA4', 'UBASH3A', 'SIM2', 'QKI', 'DDX11', 'KIF4B', 'GLI2', 'SLCO5A1', 'NIPBL', 'SLIT3', 'ECEL1', 'SIPA1L2', 'N4BP3', 'ULK2', 'ATP10B', 'HOOK1', 'PRSS16', 'TAF1L', 'PLB1', 'PCDHA2', 'PCDHA1', 'SALL4', 'PCDHA8', 'COL14A1', 'ACRC', 'PTPRD', 'SIGLEC8', 'ABCC9', 'PTCH1', 'AHNAK', 'PRTG'])
ATP13A2	set(['MYOM3', 'KIAA1409', 'MYH13', 'ZCCHC14', 'DUOX2', 'ITGA4', 'ZFHX3', 'KIAA0649', 'PRPF8', 'UPF1', 'SACS', 'TRPA1', 'TXNDC3', 'SPTBN4', 'ASPM', 'PRPF6', 'MYH2', 'MYH3', 'SIM1', 'FRRS1', 'KLF17', 'PREX1', 'EML2', 'CIITA', 'TBC1D2', 'EPHA8', 'ABCA4', 'RB1', 'XDH', 'SLC12A5', 'LRP1B', 'NFKBIL2', 'MAGEB1', 'C3', 'SIPA1L3', 'NBAS', 'ZFC3H1', 'DGKD', 'MYT1', 'LAMA1', 'MAP1B', 'CEP250', 'LAMA5', 'RIMBP2', 'SP1', 'HOOK1', 'CELSR2', 'CELSR1', 'FBN1', 'CUX2', 'RAG1', 'ZNF208', 'PTPN3', 'SYNE2', 'PCDHA13', 'DNAH5', 'DNAH3', 'FHDC1', 'KIF1B', 'SHROOM2', 'BBS1', 'SH3TC1', 'SRRM2', 'NWD1', 'MYLK', 'GPR179', 'MAP3K12', 'SPHKAP', 'ABCC8', 'PDZD2', 'GPR133', 'PALM2-AKAP2', 'MAST2', 'ZMYM3', 'MYO15A', 'SCN5A', 'ITGAD', 'PTPN11'])
KIF4B	set(['SLC6A3', 'ZDBF2', 'COL11A1', 'COL11A2', 'HSPG2', 'ITGA4', 'PCSK4', 'AFF2', 'PRPF8', 'NLRP11', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)', 'CNTN4', 'ZNF208', 'PIK3CG', 'DNAH11', 'BRPF3', 'QKI', 'PCDHA13', 'USH2A', 'ADAMTS3', 'NALCN', 'PLEKHG4B', 'AHNAK', 'ARHGEF2', 'ADARB2(D)', 'ECT2L', 'CDH9', 'GUCY1A3', 'SLIT3', 'DUS3L', 'RPGRIP1L', 'KIF2B', 'POTEB', 'MED12', 'DUOX2', 'MICALCL', 'LRP1', 'WNK3', 'DLGAP2', 'BZRAP1', 'DSP', 'COL5A3', 'CCDC114', 'RAG1', 'IGHMBP2', 'SLCO6A1', 'PTPRS', 'LAMC3', 'TNN', 'XIRP2', 'CXorf22', 'ITGAX', 'TERT', 'TP53', 'NUP210L', 'MLL2', 'BBS1', 'DNAH8', 'DNAH9', 'MAST2', 'TPTE2', 'STARD8', 'COL1A2', 'PDZD2', 'C9orf150', 'PKHD1', 'F8', 'CPS1', 'EPX', 'PRKD3'])
KIF4A	set(['SEMA3C', 'KEL', 'NUP210L', 'DOCK8', 'MED12', 'COL22A1', 'MYLK', 'RELN', 'FAM83H', 'PCDH17', 'MUC5B', 'ZNF292', 'GABRA1', 'TRIO', 'MYT1'])
SLCO5A1	set(['TGM2', 'USH2A', 'HUWE1', 'PTCHD2', 'ASTL', 'DEAF1', 'NIPBL', 'ESPL1', 'RELN', 'CACNA1S', 'ZMYM3', 'SLITRK2', 'CASZ1', 'ARHGEF19', 'LRP1', 'TESK1', 'UBR4', 'TERT', 'ADCY1', 'HCN1', 'PTPN11', 'SPEN', 'FAT2', 'GPR116', 'RFX6', 'GON4L', 'DOCK8', 'LRFN5', 'RPL5,FAM69A,SNORA66(D)', 'RRP1B', 'ANO5', 'ST14', 'DPPA4', 'C12orf35', 'ZNF599', 'PKDREJ', 'TIAM2', 'SKIV2L', 'PCLO', 'TNS1', 'CARD11', 'SMC1A', 'NACA', 'TRRAP', 'RAG1', 'EVPL', 'HMCN1', 'C21orf58', 'OTOA', 'COL22A1', 'WDFY3', 'PDZD2', 'FLNA', 'SCN5A', 'MYOM3', 'MYH11', 'MSH6', 'EPHA7', 'ZFHX3', 'SHROOM2', 'ATR', 'AKAP13', 'ADAMTS16', 'MUC5B', 'ZNF536', 'MYH9', 'DUS3L', 'DSG4', 'KIDINS220', 'SALL4', 'PCDHA1', 'PRTG', 'SYNE2', 'LRP2', 'TJP3', 'KEL', 'KIF1B', 'SPAG17', 'ABCA4', 'PITPNM1', 'PRKD3', 'OBSCN', 'SVIL', 'ZNF318', 'USP6', 'C8B', 'ODZ3', 'ODZ1', 'DSCAM', 'SPTBN4', 'SMARCA4', 'SIM2', 'DDX11', 'PLEKHG4B', 'LRP1B', 'SLIT3', 'CD163L1', 'RPGRIP1L', 'SIPA1L3', 'SIPA1L2', 'N4BP3', 'ULK2', 'ATP10B', 'FBN2', 'CELSR2', 'ANK1', 'EPHA10', 'PCDHA2', 'FLNC', 'LRP4', 'PCDHA8', 'COL14A1', 'ACRC', 'PTPRD', 'BCL9', 'AHNAK', 'SCAF1'])
CDKN2A(D)	set(['AKAP6,NPAS3(D),NPAS3(D)', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)', 'FAF1(D)'])
SLIT3	set(['SSPO', 'TGM2', 'FRYL', 'DNAH10', 'COL11A1', 'COL11A2', 'HUWE1', 'ABP1', 'PCSK4', 'NEFH', 'PCDHGB3', 'PTCHD2', 'TMEM2', 'DNAH11', 'CACNA1H', 'RERE', 'ASTL', 'PKD1L1', 'ADAMTS3', 'ITSN1', 'DEAF1', 'NIPBL', 'WHSC1L1', 'SP1', 'DLGAP2', 'KCNU1', 'ESPL1', 'RELN', 'PLXND1', 'CACNA1S', 'MYT1', 'ZMYM3', 'SLITRK2', 'CASZ1', 'DYSF', 'KIAA1244', 'KIF2B', 'WNK3', 'TRIML1', 'BZRAP1', 'SAMD9L', 'ZNF208', 'PAPPA', 'IGHMBP2', 'GMIP', 'ADAMTS20', 'ATP2B3', 'SETD2', 'TESK1', 'UBR4', 'ZAN', 'SBF1', 'CALN1', 'SIPA1L2', 'COL7A1', 'RFX6', 'MYLK', 'SPEN', 'KDM5D', 'SPEG', 'LZTR1', 'PTPN11', 'ADCY1', 'KIAA1409', 'EPHB2', 'DOCK8', 'CCDC60', 'RRP1B', 'ANO5', 'DOCK1', 'ANO2', 'MLL2', 'ST14', 'NACA', 'EP400', 'ARHGAP9', 'DPPA4', 'MLL4', 'C12orf35', 'IQSEC3', 'ZNF599', 'SHPRH', 'FLG', 'PLXNB2', 'PLXNB3', 'CHD5', 'CABIN1', 'PCDHB3', 'ITIH5', 'PKDREJ', 'USP43', 'EPPK1', 'TIAM2', 'SKIV2L', 'PCLO', 'AKAP13', 'PRPF6', 'PITPNM1', 'GRM6', 'DUSP27', 'CARD6', 'NCAN', 'PTPRN2', 'MAP1B', 'PLCB3', 'TLL1', 'HEATR5A', 'NLRP7', 'TRRAP', 'CUX2', 'HERC2', 'PLEC', 'COL4A2', 'GPR116', 'PTPN3', 'EVPL', 'PCDHA12', 'PCDHGA1', 'C21orf58', 'SPAM1', 'BCAR3', 'DNAH2', 'ABCA13', 'ABCG4', 'PKD1L2', 'TNS1', 'OTOA', 'COL22A1', 'HNF4A', 'HOOK1', 'OTOF', 'CFTR', 'PDE6B', 'MAGEB1', 'WDFY3', 'HECW1', 'SLC22A2', 'FLNA', 'VWF', 'FLNC', 'ZNF292', 'MYOM3', 'MYH11', 'SCN5A', 'EPHA7', 'ARHGEF2', 'CCDC45', 'NEB', 'ZFHX3', 'DCC', 'ZNF831', 'SHROOM2', 'SRMS', 'ATR', 'GON4L', 'LAMC3', 'MUC5B', 'GABRA1', 'ENPEP', 'ZNF536', 'CIITA', 'MYH9', 'KIF1B', 'PCDH17', 'CDH9', 'C7', 'DNHD1', 'KIF21B', 'FGD5', 'TRIO', 'HSPG2', 'WBSCR17', 'ACACB', 'LRFN5', 'SLC13A3', 'PPEF2', 'CELSR2', 'CELSR1', 'CARD11', 'SALL4', 'MAST2', 'AGAP3', 'MSH6', 'IGF2BP1', 'KIF4B', 'SYNE2', 'ABCB4', 'TJP3', 'FHOD3', 'LRP4', 'F8', 'PKD1', 'SPAG17', 'ABCA4', 'COL1A2', 'DSG4', 'C2orf55', 'NLRP11', 'UGGT1', 'KIAA1210', 'PRKD3', 'OBSCN', 'SVIL', 'HSPA6', 'SCAF1', 'BCL9', 'ZNF318', 'NWD1', 'USP6', 'KIAA0649', 'C8B', 'ODZ3', 'ODZ1', 'SMARCA1', 'DSCAM', 'RB1CC1', 'SPTBN4', 'SMARCA4', 'DGKZ', 'SIM2', 'LPHN1', 'ARAP3', 'RIMBP2', 'DDX11', 'PLEKHG4B', 'ITPR3', 'PCDHGA11', 'RB1', 'BRPF3', 'SLCO5A1', 'MED12', 'SPHKAP', 'NFKBIL2', 'DACT1', 'ARHGEF19', 'RPGRIP1L', 'SIPA1L3', 'TERT', 'N4BP3', 'PDZD2', 'ULK2', 'UBASH3A', 'HOOK2', 'CELSR3', 'ATP10B', 'C9orf150', 'FBN2', 'CROCC', 'KIDINS220', 'DOCK4', 'TAF1L', 'PCNT', 'PLB1', 'COL24A1', 'PCDHA2', 'PCDHA1', 'PTPRS', 'LRRK2', 'BBS1', 'PCDHA8', 'SRRM2', 'COL14A1', 'NOTCH2', 'PCDH7', 'ACRC', 'MAP3K12', 'PTPRD', 'ABCC8', 'GPR133', 'KANK1', 'COL6A1', 'PIK3C2G', 'PTCH1', 'AHNAK', 'PRTG'])
ARHGEF19	set(['TGM2', 'USH2A', 'HUWE1', 'L1CAM', 'ASTL', 'EPX', 'WWC3', 'DEAF1', 'SLITRK2', 'CACNA1F', 'ESPL1', 'RELN', 'PCLO', 'CACNA1S', 'ZMYM3', 'MICALCL', 'CASZ1', 'IGHMBP2', 'ADAMTS20', 'TESK1', 'INPP5D', 'ADCY1', 'PTPN11', 'MYLK', 'SPEN', 'FAT2', 'RFX6', 'ITGA8', 'DOCK8', 'USP6', 'RRP1B', 'C7orf52', 'DOCK4', 'ST14', 'DPPA4', 'C12orf35', 'ZNF599', 'FLG', 'PKDREJ', 'TIAM2', 'SKIV2L', 'GRM8', 'TNS1', 'CARD11', 'SDK1', 'NACA', 'ZNF536', 'TRRAP', 'HERC2', 'EVPL', 'HMCN1', 'C21orf58', 'BCAR3', 'SUPT6H', 'PDGFRA(A)', 'OTOA', 'RHBDF2', 'WDFY3', 'PDZD2', 'FLNA', 'FLNC', 'ZNF292', 'MYOM3', 'MYH11', 'EPHA7', 'AMPD1', 'ZFHX3', 'PRKDC', 'SPTA1', 'SHROOM2', 'ATR', 'AKAP13', 'DOCK10', 'PCDHA12', 'ENPEP', 'NLRP7', 'CCDC108', 'MYH9', 'DNMBP', 'LAMA3', 'CELSR3', 'CELSR2', 'SALL4', 'PRTG', 'SYNE1', 'SYNE2', 'LRP2', 'TJP3', 'FHOD3', 'KIF1B', 'SPAG17', 'ABCA4', 'KIDINS220', 'PRKD3', 'OBSCN', 'SCAF1', 'ZNF318', 'MSH6', 'C8B', 'CNTNAP5', 'ODZ1', 'DSCAM', 'SPTBN4', 'SMARCA4', 'RERE', 'SIM2', 'DDX11', 'PLEKHG4B', 'SLCO5A1', 'NIPBL', 'ZFP42', 'SLIT3', 'HOMER1', 'RPGRIP1L', 'SIPA1L2', 'N4BP3', 'ULK2', 'ATP10B', 'PRSS16', 'COL24A1', 'PCDHA2', 'PCDHA1', 'LRP4', 'PCDHA8', 'SRRM2', 'COL14A1', 'ACRC', 'ANK2', 'PTPRD', 'BCL9', 'MAP3K15', 'COL6A1', 'KIAA1409', 'AHNAK', 'PTCHD2'])
HOMER1	set(['ZDBF2', 'MYH14', 'COL11A2', 'EPHA8', 'EPHA7', 'BIRC6', 'AMPD1', 'GMIP', 'NEB', 'KIAA1462', 'MSH6', 'MYH4', 'WHSC1L1', 'LAMC3', 'ZNF599', 'PKHD1L1', 'NLRP7', 'CHD5', 'TP53', 'ADAMTS3', 'ACRC', 'CCDC108', 'MGAM', 'MYH9', 'DEAF1', 'CACNA1E', 'USP43', 'XDH', 'BSN', 'NIPBL', 'ZFP42', 'GRM8', 'PIK3R1', 'DISP1', 'DSG3', 'C7', 'TRPM3', 'LAMA3', 'NACA', 'TMTC1', 'TIAM2', 'ARHGEF19', 'CELSR3', 'KIDINS220', 'TMPRSS6', 'BZRAP1', 'AGAP3', 'ZNF208', 'EPHA10', 'SYNE1', 'MYH7B', 'XIRP2', 'PTPRT', 'SUPT6H', 'CAND1', 'BBS1', 'SH3TC1', 'FAT2', 'PCDH17', 'BRAF', 'POM121L12', 'ATP8B4', 'FLNA', 'CFTR'])
LRRIQ1	set(['MDN1', 'SCN7A', 'TGM2', 'DMD', 'RFX6', 'SSPO', 'CHD8', 'LAMA2', 'ANO2', 'SCN9A', 'MLL2', 'GON4L', 'RBMS3', 'TRPA1', 'TMEM132D', 'FRRS1', 'DOCK11', 'LAMA5', 'MYH2', 'APOB', 'LRRK1', 'CABIN1', 'FAM47A', 'ABCC9', 'PKD1', 'DLGAP2', 'ZFP42', 'DNMBP', 'SAMD9', 'DNHD1', 'MYT1', 'SMC1A', 'NOS1', 'TRIO', 'NACA', 'IL4R', 'KIAA1244', 'NLGN4X', 'ENPP2', 'TMEM146', 'KCNU1', 'SRMS', 'EPHA10', 'SYNE2', 'PRKDC', 'SPAM1', 'PKD1L1', 'F5', 'PCDHA1', 'NUP210L', 'BBS1', 'PCDHA8', 'MYLK', 'NAV2', 'RHBDF2', 'PDZD2', 'DKC1', 'PIK3C2G', 'KIF21B', 'ELMO1', 'CREBBP'])
SIPA1L3	set(['FRYL', 'DNAH10', 'DNAH11', 'USH2A', 'GAK', 'ABP1', 'SBF1', 'LRFN5', 'PRPF6', 'CACNA1H', 'SRMS', 'NCAN', 'PKD1L1', 'ADAMTS3', 'CNGB1', 'CACNA1A', 'SLCO6A1', 'DCC', 'WHSC1L1', 'PIK3CG', 'DLGAP2', 'MSLNL', 'PLXND1', 'CACNA1S', 'MYT1', 'DYSF', 'KIAA1244', 'SP1', 'ABCB4', 'BZRAP1', 'PAPPA', 'FHOD3', 'IGHMBP2', 'ATP2B3', 'UBR4', 'ZAN', 'ZNF831', 'CALN1', 'ADCY1', 'PTPN11', 'MDM2(A)', 'SPEG', 'MYO15A', 'LZTR1', 'CFTR', 'GON4L', 'DOCK8', 'GABRG2', 'DOCK1', 'ITGA4', 'DOCK5', 'MLL2', 'ST14', 'EP400', 'MLL4', 'C12orf35', 'PLXNB3', 'CHD5', 'CABIN1', 'PREX1', 'PCDHB3', 'DACT1', 'USP43', 'EPPK1', 'TIAM2', 'SKIV2L', 'COL1A2', 'EPHB2', 'MAP1B', 'PLCB3', 'C15orf2', 'CUX2', 'HERC2', 'PLEC', 'COL4A2', 'PTPN3', 'ITPR3', 'PCDHA12', 'PCDHGA1', 'BCAR3', 'DNAH2', 'ABCA13', 'ABCG4', 'PKD1L2', 'DNAH5', 'COL22A1', 'NWD1', 'PDE6B', 'ITSN1', 'HECW1', 'SLC22A2', 'VWF', 'SCN5A', 'MDN1', 'MYH11', 'CCDC45', 'NEB', 'MAP3K12', 'SHROOM2', 'CACNA1F', 'ITIH5', 'TLL1', 'NLRP7', 'CIITA', 'FLNC', 'C7', 'DSG4', 'UGGT1', 'FGD5', 'LAMA1', 'TRIO', 'HSPG2', 'WBSCR17', 'ACACB', 'CELSR3', 'CELSR2', 'CELSR1', 'MAST2', 'AGAP3', 'SCAF1', 'SYNE2', 'KEL', 'PKD1', 'PITPNM1', 'C2orf55', 'SVIL', 'ZNF318', 'CDH18', 'COL11A2', 'MEGF8', 'CNTNAP2', 'ODZ3', 'ODZ1', 'SMARCA1', 'RB1CC1', 'SPTBN4', 'SMARCA4', 'UBASH3A', 'KLF17', 'ATP13A2', 'PCDHGA11', 'BRPF3', 'SLCO5A1', 'ZFP42', 'SLIT3', 'NFKBIL2', 'TRIML1', 'TERT', 'DGKD', 'PDZD2', 'ULK2', 'HOOK2', 'FBN2', 'CROCC', 'PCNT', 'COL7A1', 'ARID3B', 'PTPRS', 'SEMG1', 'SRRM2', 'SPTA1', 'ANK1', 'ANK2', 'KANK1', 'COL6A1', 'PTCH1'])
