Gene0	Gene1	Weight	cometProbability	mutexProbability	Frequency	MinProbability
CBFA2T3loss	HLA-Aloss	3.41739913941	0.0327976261592	0.019702256892474936	2	0.019702256892474936
MYST4loss	CCND2loss	3.26122322652	0.0383414690191	NA	1	0.0383414690191
MLL3loss	H3F3Aloss	3.61583297446	0.0268945134416	0.017944616482936798	2	0.017944616482936798
MTCP1loss	CYTSBloss	4.62284915015	0.00982476391862	NA	1	0.00982476391862
MAFloss	CYTSBloss	4.59655005249	0.0100865739384	NA	1	0.0100865739384
MLL3loss	PAFAH1B2loss	NA	NA	0.04730474429668405	1	0.04730474429668405
MYST4loss	CBLloss	3.3763732485	0.0341711605819	NA	1	0.0341711605819
CEP110loss	MLLT3loss	4.01907051614	0.0179696596882	NA	1	0.0179696596882
CEP110loss	DDX6loss	6.06535856774	0.00232192529774	NA	1	0.00232192529774
KAT6Bloss	CYTSBloss	3.80942303352	0.0221609614011	NA	1	0.0221609614011
ERCC5loss	HLA-Aloss	3.19736245888	0.0408698578757	0.0244943164421589	2	0.0244943164421589
MYST4loss	TAL1loss	5.19859654914	0.0055243120833	NA	1	0.0055243120833
H3F3Bloss	MYST4loss	4.84232141749	0.00788871976706	NA	1	0.00788871976706
FANCFloss	HLA-Aloss	4.65476715846	0.00951612873411	0.006144095967809609	2	0.006144095967809609
MLL2loss	SOX2loss	3.20924892812	0.0403869353749	0.025759910196413223	2	0.025759910196413223
CEP110loss	TRIM27loss	3.13226349076	0.0436189543297	NA	1	0.0436189543297
AKT1loss	MYST4loss	5.14442677797	0.00583181633169	NA	1	0.00583181633169
MLL2loss	LPPloss	NA	NA	0.04714536634821477	1	0.04714536634821477
OMDloss	MLLloss	3.08357222419	0.0457953727698	NA	1	0.0457953727698
MLL3loss	LHFPloss	NA	NA	0.041875528711082584	1	0.041875528711082584
ATICloss	HLA-Aloss	NA	NA	0.044204621734488435	1	0.044204621734488435
MLL3loss	SSX1loss	3.51468895668	0.0297570572486	0.01790583447976453	2	0.01790583447976453
MLL2loss	SH2B3loss	3.14138672504	0.0432228181598	0.026617241742425635	2	0.026617241742425635
MPLloss	RUNDC2Aloss	3.4024759597	0.0332907413	NA	1	0.0332907413
RPL22loss	MYST4loss	3.80907960576	0.0221685733975	NA	1	0.0221685733975
DAXXloss	CEP110loss	3.22346996396	0.0398166559129	NA	1	0.0398166559129
MLL3loss	SSX2loss	4.10335582875	0.0165171535542	0.010150537056587961	2	0.010150537056587961
CEP110loss	HIST1H4Iloss	4.92372207703	0.0072720134174	NA	1	0.0072720134174
MYST4loss	HMGN2P46loss	6.71622875355	0.00121109695759	NA	1	0.00121109695759
TCL6loss	MYST4loss	4.05237638153	0.017381021585	NA	1	0.017381021585
MLL3loss	RAD21loss	NA	NA	0.0423789242235902	1	0.0423789242235902
FGFR1OPloss	MLL3loss	5.09129923907	0.00615002434232	0.0037496472048378143	2	0.0037496472048378143
CCDC6loss	CYTSBloss	3.62207137356	0.0267272569818	NA	1	0.0267272569818
KMT2Dloss	FAM123Bloss	4.15793013315	0.0156398969439	NA	1	0.0156398969439
CEP110loss	PIM1loss	4.79247506206	0.00829190897381	NA	1	0.00829190897381
