Gene	numTriplets
FAT4	45
OBSCN	36
DST	36
TP53	33
MT-RNR2	30
UPF3A	27
PKHD1	24
TUBBP5	18
KRTAP10-7	15
MT-ND4	12
OTOP1	12
AHNAK2	12
MUC16	12
IDUA	12
NCOR2	9
TTN	9
GPX1	9
MT-CO1	6
MT-ND5	6
PCDH15	6
RP11-1277A3.2	3
KRTAP5-5	3
MT-CYB	3
MUC2	3
KCNN3	3
KRTAP4-11	3
CTNNB1	0
FAM182A	0
CROCCP2	0
BAGE2	0
C2orf81	0
DNAH6	0
KRTAP10-6	0
ATXN1	0
