02Concordance	AverageTotalEdgeBetweennessCentrality	MutationFrequency1	MutationFrequency0	Overlap	MutationFrequency2	01Concordance	MutationFrequencyDifference	Type	AverageOverlapPMN	AverageSetScore	MutationFrequencyDifferenceRatio	AverageCombinedScore	TripletScore	Coverage	AverageAverageNodeClosenessCentrality	12Type	SetScore	Concordance	AverageAverageNodeClusteringCoefficient	RoundedLogPCov	CooccurrenceRatio	MutationFrequencies	Somatic	CombinedScore	12Concordance	AverageRoundedLogPCov	ID	GeneSet	Probability	TripletType	Gene0	Gene1	Gene2	AverageCoverage	01Type	02Type	AverageCooccurrenceRatio
False	0	5	12	3	5	False	7	Cooccurring	233.0	24.691432319471385	0.4375	96.4509227189422	16.25577349195655	16	0	Cooccurring	37.16068921915604	False	0	inf	0.1875	[12, 5, 5]	3	198.19034250216555	False	5.933333333333333	60	set(['MYO15A', 'KIF1B', 'RIMBP2'])	1.9765166874383354e-15	CooccurringCooccurringCooccurring	MYO15A	KIF1B	RIMBP2	11	Cooccurring	Cooccurring	0.2857142857142857
False	0	5	12	2	5	False	7	Cooccurring	329.0	24.105325125183935	0.4666666666666667	96.21264194390206	16.307227448118994	15	0	Cooccurring	38.97637944367303	False	0	inf	0.13333333333333333	[12, 5, 5]	3	292.3228458275477	False	5.8999999999999995	61	set(['MYO15A', 'PPEF2', 'RIMBP2'])	2.986090167056229e-15	CooccurringCooccurringCooccurring	MYO15A	PPEF2	RIMBP2	11	Cooccurring	Cooccurring	0.25732600732600736
False	0	7	12	3	5	False	5	Cooccurring	233.0	24.57923329282258	0.2777777777777778	106.9813083961975	18.99076480405873	18	0	Cooccurring	36.99239067918284	False	0	inf	0.16666666666666666	[12, 7, 5]	3	221.95434407509705	False	5.633333333333333	62	set(['MYO15A', 'MYLK', 'RIMBP2'])	2.3657741132794989e-14	CooccurringCooccurringCooccurring	MYO15A	MYLK	RIMBP2	13	Cooccurring	Cooccurring	0.24503968253968253
False	0	7	12	3	5	False	5	Cooccurring	233.0	23.95269727546339	0.3125	83.96862675761756	12.05291293171544	16	0	Cooccurring	37.087463470262016	False	0	inf	0.1875	[12, 7, 5]	3	197.79980517473075	False	6.966666666666666	63	set(['MYO15A', 'SCN5A', 'RIMBP2'])	2.0397438969839037e-18	CooccurringCooccurringCooccurring	MYO15A	SCN5A	RIMBP2	12	Cooccurring	Cooccurring	0.30158730158730157
False	0	7	5	3	6	False	2	Cooccurring	234.66666666666666	24.717328245838086	0.18181818181818182	65.99375044914541	9.382997694191289	11	0	Cooccurring	37.667649344521585	False	0	inf	0.2727272727272727	[5, 7, 6]	3	138.11471426324582	False	7.033333333333334	66	set(['NIPBL', 'MYH9', 'SIPA1L2'])	5.701367019305883e-19	CooccurringCooccurringCooccurring	NIPBL	MYH9	SIPA1L2	8	Cooccurring	Cooccurring	0.39166666666666666
False	0	6	7	3	5	False	1	Cooccurring	234.66666666666666	24.752176106327962	0.08333333333333333	74.25824126829143	11.977135688434101	12	0	Cooccurring	37.294283808993306	False	0	inf	0.25	[7, 6, 5]	3	149.17713523597322	False	6.2	67	set(['MYH9', 'SIPA1L2', 'PTPRD'])	2.0308307726588208e-16	CooccurringCooccurringCooccurring	MYH9	SIPA1L2	PTPRD	9	Cooccurring	Cooccurring	0.3361111111111111
False	0	5	7	3	6	False	2	Cooccurring	234.66666666666666	24.2019934911131	0.16666666666666666	72.69939052518265	11.725708149223008	12	0	Cooccurring	36.469009886171015	False	0	inf	0.25	[7, 5, 6]	3	145.87603954468406	False	6.2	68	set(['MYH9', 'SLITRK2', 'SIPA1L2'])	2.0308307726588211e-16	CooccurringCooccurringCooccurring	MYH9	SLITRK2	SIPA1L2	9	Cooccurring	Cooccurring	0.3361111111111111
False	0	6	7	3	5	False	1	Cooccurring	234.66666666666666	24.53445723389549	0.08333333333333333	73.64137112973275	11.877640504795604	12	0	Cooccurring	36.9677055003446	False	0	inf	0.25	[7, 6, 5]	3	147.8708220013784	False	6.2	69	set(['MYH9', 'SIPA1L2', 'PTCHD2'])	2.0308307726588208e-16	CooccurringCooccurringCooccurring	MYH9	SIPA1L2	PTCHD2	9	Cooccurring	Cooccurring	0.3361111111111111
False	0	5	7	3	5	False	2	Cooccurring	237.0	23.614865154455714	0.18181818181818182	65.32732578085817	10.31484091276708	11	0	Cooccurring	35.6232053201353	False	0	inf	0.2727272727272727	[7, 5, 5]	3	130.61841950716277	False	6.333333333333333	92	set(['KIAA1409', 'RERE', 'DOCK4'])	5.1091996144160529e-17	CooccurringCooccurringCooccurring	KIAA1409	RERE	DOCK4	8	Cooccurring	Cooccurring	0.36507936507936506
False	0	5	7	3	5	False	2	Cooccurring	237.0	23.638274037894764	0.18181818181818182	65.38974947002896	10.324697284741415	11	0	Cooccurring	35.65831864529387	False	0	inf	0.2727272727272727	[7, 5, 5]	3	130.74716836607752	False	6.333333333333333	93	set(['KIAA1409', 'FHOD3', 'DOCK4'])	5.1091996144160529e-17	CooccurringCooccurringCooccurring	KIAA1409	FHOD3	DOCK4	8	Cooccurring	Cooccurring	0.36507936507936506
False	0	8	7	3	5	False	1	Cooccurring	237.0	23.429709255958148	0.07142857142857142	80.5559145628045	13.57683953305694	14	0	Cooccurring	35.345471472388944	False	0	inf	0.21428571428571427	[7, 8, 5]	3	164.94553353781507	False	5.933333333333333	94	set(['KIAA1409', 'ADCY1', 'DOCK4'])	1.5721872187031637e-15	CooccurringCooccurringCooccurring	KIAA1409	ADCY1	DOCK4	10	Cooccurring	Cooccurring	0.29444444444444445
False	0	5	7	2	5	False	2	Cooccurring	329.0	24.21342082163892	0.16666666666666666	97.07717892813623	19.94736553317868	12	0	Cooccurring	37.138690569902444	False	0	inf	0.16666666666666666	[7, 5, 5]	3	222.83214341941468	False	4.866666666666666	95	set(['KIAA1409', 'PCDHB3', 'DOCK4'])	1.734023559429305e-12	CooccurringCooccurringCooccurring	KIAA1409	PCDHB3	DOCK4	9	Cooccurring	Cooccurring	0.26111111111111107
False	0	7	7	3	5	False	0	Cooccurring	237.0	23.46629326207339	0.0	66.69079689928414	9.807470132247667	12	0	Cooccurring	35.82375997939402	False	0	inf	0.25	[7, 7, 5]	3	143.29503991757608	False	6.8	96	set(['KIAA1409', 'MYLK', 'DOCK4'])	3.4759476190160095e-18	CooccurringCooccurringCooccurring	KIAA1409	MYLK	DOCK4	9	Cooccurring	Cooccurring	0.35555555555555557
False	0	6	7	3	5	False	1	Cooccurring	237.0	22.477798929632012	0.08333333333333333	67.21862502075508	10.841713713025014	12	0	Cooccurring	33.91760598289974	False	0	inf	0.25	[7, 6, 5]	3	135.67042393159895	False	6.2	97	set(['KIAA1409', 'C12orf35', 'DOCK4'])	2.0308307726588208e-16	CooccurringCooccurringCooccurring	KIAA1409	C12orf35	DOCK4	9	Cooccurring	Cooccurring	0.3361111111111111
False	0	6	7	3	5	False	1	Cooccurring	237.0	23.311411130656086	0.08333333333333333	69.71946162382731	11.245074455456018	12	0	Cooccurring	35.16802428443585	False	0	inf	0.25	[7, 6, 5]	3	140.6720971377434	False	6.2	98	set(['KIAA1409', 'IGHMBP2', 'DOCK4'])	2.0308307726588211e-16	CooccurringCooccurringCooccurring	KIAA1409	IGHMBP2	DOCK4	9	Cooccurring	Cooccurring	0.3361111111111111
False	0	19	7	3	5	False	12	Cooccurring	237.0	23.749638428609686	0.5	124.3694998244445	21.199346560984857	24	0	Cooccurring	36.825325739785406	False	0	inf	0.125	[7, 19, 5]	3	294.60260591828325	False	5.866666666666667	99	set(['KIAA1409', 'PCLO', 'DOCK4'])	9.9755229339300548e-15	CooccurringCooccurringCooccurring	KIAA1409	PCLO	DOCK4	17	Cooccurring	Cooccurring	0.2193362193362193
False	0	9	7	3	5	False	2	Cooccurring	237.0	23.297834503193098	0.14285714285714285	75.46873793303327	11.55133743872958	14	0	Cooccurring	35.88404665438778	False	0	inf	0.21428571428571427	[7, 9, 5]	3	167.45888438714297	False	6.533333333333334	100	set(['KIAA1409', 'EVPL', 'DOCK4'])	2.9704781355527337e-17	CooccurringCooccurringCooccurring	KIAA1409	EVPL	DOCK4	10	Cooccurring	Cooccurring	0.3131313131313131
False	0	7	7	3	5	False	0	Cooccurring	237.0	23.74717428904522	0.0	76.3733520582259	12.589014075531743	13	0	Cooccurring	35.82166902201955	False	0	inf	0.23076923076923078	[7, 7, 5]	3	155.22723242875136	False	6.066666666666666	101	set(['KIAA1409', 'ADAMTS20', 'DOCK4'])	6.1802818217529503e-16	CooccurringCooccurringCooccurring	KIAA1409	ADAMTS20	DOCK4	9	Cooccurring	Cooccurring	0.3131313131313131
False	0	5	7	2	5	False	2	Cooccurring	303.0	23.823859715610485	0.16666666666666666	95.32415395100831	19.587154921440067	12	0	Cooccurring	35.83111489531454	False	0	inf	0.16666666666666666	[7, 5, 5]	3	214.98668937188725	False	4.866666666666666	102	set(['KIAA1409', 'COL24A1', 'DOCK4'])	1.734023559429305e-12	CooccurringCooccurringCooccurring	KIAA1409	COL24A1	DOCK4	9	Cooccurring	Cooccurring	0.26111111111111107
