Gene0	Gene1	Probability	Weight
TCL6loss	MYST4loss	0.017381021585	4.05237638153
NFE2L2loss	HLA-Aloss	0.0326770654789	3.42108180865
CYTSBloss	CBFA2T3loss	0.0299581508671	3.5079538423
MLL3loss	LPPloss	0.01012388236	4.59285805628
MLL2loss	MSH2loss	0.0460483242034	3.07806390775
C15orf65loss	MYST4loss	0.0120994638325	4.41459413872
PATZ1loss	CYTSBloss	0.00464617313808	5.37171137928
RPL22loss	MYST4loss	0.0221685733975	3.80907960576
NUTM2Aloss	CYTSBloss	0.0446547005419	3.10879570191
CEP110loss	POU2AF1loss	0.0323589557445	3.43086445726
BCL3loss	MLLloss	0.0261797314925	3.64276977476
TNFRSF14loss	HLA-Aloss	0.00444078390196	5.41692436363
CBFBloss	NOTCH2loss	5.47390927461e-05	9.81293242836
MLL2loss	CDK4loss	0.000792043317398	7.14089447396
CDKN2Closs	MYST4loss	0.0163901573226	4.11107428758
NF2loss	MLL3loss	0.0223478934432	3.80102321547
FGFR1OPloss	MLL3loss	0.00615002434232	5.09129923907
CEP110loss	HMGA1loss	0.00870889669458	4.74341016726
CEP110loss	SDHAF2loss	0.0242976182956	3.71737694597
CEP110loss	LASP1loss	0.0248801285603	3.69368584391
SSX1loss	CYTSBloss	0.00476028808169	5.34744709121
MYST4loss	TAL1loss	0.0055243120833	5.19859654914
NUTM2Bloss	MYST4loss	0.0023919926717	6.03562850657
BCL9loss	CBFBloss	0.00239548930559	6.03416776602
MLL2loss	HMGA2loss	0.049337724618	3.00906628532
CNBPloss	MLL2loss	0.0171755969529	4.0642656844
CBLCloss	MLL3loss	0.0272496609944	3.60271419852
NONOloss	CYTSBloss	0.00697995110534	4.9647133672
HOXC13loss	CYTSBloss	0.0350599392385	3.35069613256
CEP110loss	PICALMloss	0.0185309107636	3.98831508913
FANCGloss	MYST4loss	0.0109544753253	4.51400720071
CD79Aloss	MYST4loss	0.0413985878641	3.18450850829
CEP110loss	PIM1loss	0.00829190897381	4.79247506206
GPC3loss	CYTSBloss	0.00758178686821	4.88200637252
MLL3loss	IDH1loss	0.0085609088449	4.76054892099
MLL2loss	CHEK2loss	0.022593049089	3.79011298245
MYOD1loss	HLA-Aloss	0.0080605367488	4.82077513054
MLL2loss	WIF1loss	0.00783909116385	4.84863237432
MLL2loss	C2orf44loss	0.0210033295998	3.86307430146
BCL9loss	CYLDloss	0.0332035932001	3.40509718
MLL3loss	PHF6loss	0.0292609487571	3.53150145886
MYST4loss	TNFRSF14loss	0.0346555545055	3.36229726301
SSX4loss	CYTSBloss	0.0367147763585	3.30457597938
SH2B3loss	CYTSBloss	0.0204840366026	3.8881093985
CEP110loss	RARAloss	0.0226253987878	3.78868216357
ZBTB16loss	CCDC123loss	0.0468991064118	3.05975665676
CYLDloss	NOTCH2loss	0.00289963435803	5.84317063338
RUNDC2Aloss	MYCLloss	0.0355640239845	3.33642071432
