Gene0	Gene1	Probability	Weight
MLL3loss	SOX2loss	0.000248958694443	8.29822356103
NCOA4loss	MYST4loss	0.00375113924228	5.58569568719
BCL9loss	MAFloss	0.0015435539926	6.473667734
MYST4loss	TAL1loss	0.0055243120833	5.19859654914
CDKN1Bloss	MYST4loss	0.00205871249066	6.18567449611
FANCFloss	HLA-Aloss	0.00951612873411	4.65476715846
MLL2loss	KMT2Dloss	2.84240964803e-07	15.0734434909
KMT2Closs	MLL3loss	0.00341147420897	5.68061076176
CDH1loss	NOTCH2loss	7.35772990086e-06	11.8197591102
TFE3loss	CYTSBloss	0.00447314663592	5.40966317262
CEP110loss	FLI1loss	0.00229737831639	6.07598666862
MLL3loss	TFGloss	0.000155626960868	8.76804869087
AKT1loss	MYST4loss	0.00583181633169	5.14442677797
MYOD1loss	HLA-Aloss	0.0080605367488	4.82077513054
